"Time (UTC)","BZN|IT-North > BZN|CH [MW]","BZN|CH > BZN|IT-North [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","1910","2386"
"01.01.2020 01:00 - 01.01.2020 02:00","1910","2240"
"01.01.2020 02:00 - 01.01.2020 03:00","1910","2045"
"01.01.2020 03:00 - 01.01.2020 04:00","1910","1801"
"01.01.2020 04:00 - 01.01.2020 05:00","1910","1899"
"01.01.2020 05:00 - 01.01.2020 06:00","1910","2069"
"01.01.2020 06:00 - 01.01.2020 07:00","1910","2069"
"01.01.2020 07:00 - 01.01.2020 08:00","1910","1728"
"01.01.2020 08:00 - 01.01.2020 09:00","1910","1461"
"01.01.2020 09:00 - 01.01.2020 10:00","1910","1047"
"01.01.2020 10:00 - 01.01.2020 11:00","1910","1071"
"01.01.2020 11:00 - 01.01.2020 12:00","1910","1095"
"01.01.2020 12:00 - 01.01.2020 13:00","1910","998"
"01.01.2020 13:00 - 01.01.2020 14:00","1910","1144"
"01.01.2020 14:00 - 01.01.2020 15:00","1910","1920"
"01.01.2020 15:00 - 01.01.2020 16:00","1910","2386"
"01.01.2020 16:00 - 01.01.2020 17:00","1910","3161"
"01.01.2020 17:00 - 01.01.2020 18:00","1910","3346"
"01.01.2020 18:00 - 01.01.2020 19:00","1910","3346"
"01.01.2020 19:00 - 01.01.2020 20:00","1910","3346"
"01.01.2020 20:00 - 01.01.2020 21:00","1910","3868"
"01.01.2020 21:00 - 01.01.2020 22:00","1910","3607"
"01.01.2020 22:00 - 01.01.2020 23:00","1910","2824"
"01.01.2020 23:00 - 02.01.2020 00:00","1910","2386"
"02.01.2020 00:00 - 02.01.2020 01:00","1910","2142"
"02.01.2020 01:00 - 02.01.2020 02:00","1910","1899"
"02.01.2020 02:00 - 02.01.2020 03:00","1910","1826"
"02.01.2020 03:00 - 02.01.2020 04:00","1910","1948"
"02.01.2020 04:00 - 02.01.2020 05:00","1910","2361"
"02.01.2020 05:00 - 02.01.2020 06:00","1910","3137"
"02.01.2020 06:00 - 02.01.2020 07:00","1810","3606"
"02.01.2020 07:00 - 02.01.2020 08:00","1810","3641"
"02.01.2020 08:00 - 02.01.2020 09:00","1810","3815"
"02.01.2020 09:00 - 02.01.2020 10:00","1810","3815"
"02.01.2020 10:00 - 02.01.2020 11:00","1810","3815"
"02.01.2020 11:00 - 02.01.2020 12:00","1810","4104"
"02.01.2020 12:00 - 02.01.2020 13:00","1810","4104"
"02.01.2020 13:00 - 02.01.2020 14:00","1810","4104"
"02.01.2020 14:00 - 02.01.2020 15:00","1810","4052"
"02.01.2020 15:00 - 02.01.2020 16:00","1810","4052"
