"MTU","Scheduled Generation [MW] (D) - BZN|CH","Scheduled Consumption [MW] (D) - BZN|CH"
"01.01.2019 00:00 - 01.01.2019 01:00 (UTC)","3599",""
"01.01.2019 01:00 - 01.01.2019 02:00 (UTC)","3599",""
"01.01.2019 02:00 - 01.01.2019 03:00 (UTC)","3600",""
"01.01.2019 03:00 - 01.01.2019 04:00 (UTC)","3600",""
"01.01.2019 04:00 - 01.01.2019 05:00 (UTC)","3599",""
"01.01.2019 05:00 - 01.01.2019 06:00 (UTC)","3598",""
"01.01.2019 06:00 - 01.01.2019 07:00 (UTC)","3625",""
"01.01.2019 07:00 - 01.01.2019 08:00 (UTC)","3619",""
"01.01.2019 08:00 - 01.01.2019 09:00 (UTC)","3626",""
"01.01.2019 09:00 - 01.01.2019 10:00 (UTC)","3605",""
"01.01.2019 10:00 - 01.01.2019 11:00 (UTC)","3634",""
"01.01.2019 11:00 - 01.01.2019 12:00 (UTC)","3629",""
"01.01.2019 12:00 - 01.01.2019 13:00 (UTC)","3596",""
"01.01.2019 13:00 - 01.01.2019 14:00 (UTC)","3597",""
"01.01.2019 14:00 - 01.01.2019 15:00 (UTC)","3597",""
"01.01.2019 15:00 - 01.01.2019 16:00 (UTC)","3612",""
"01.01.2019 16:00 - 01.01.2019 17:00 (UTC)","3814",""
"01.01.2019 17:00 - 01.01.2019 18:00 (UTC)","3846",""
"01.01.2019 18:00 - 01.01.2019 19:00 (UTC)","4042",""
"01.01.2019 19:00 - 01.01.2019 20:00 (UTC)","3820",""
"01.01.2019 20:00 - 01.01.2019 21:00 (UTC)","3737",""
"01.01.2019 21:00 - 01.01.2019 22:00 (UTC)","3944",""
"01.01.2019 22:00 - 01.01.2019 23:00 (UTC)","3950",""
"01.01.2019 23:00 - 02.01.2019 00:00 (UTC)","3746",""
"02.01.2019 00:00 - 02.01.2019 01:00 (UTC)","3645",""
"02.01.2019 01:00 - 02.01.2019 02:00 (UTC)","3615",""
"02.01.2019 02:00 - 02.01.2019 03:00 (UTC)","3616",""
"02.01.2019 03:00 - 02.01.2019 04:00 (UTC)","3615",""
"02.01.2019 04:00 - 02.01.2019 05:00 (UTC)","3618",""
"02.01.2019 05:00 - 02.01.2019 06:00 (UTC)","3735",""
"02.01.2019 06:00 - 02.01.2019 07:00 (UTC)","3783",""
"02.01.2019 07:00 - 02.01.2019 08:00 (UTC)","3852",""
"02.01.2019 08:00 - 02.01.2019 09:00 (UTC)","4333",""
"02.01.2019 09:00 - 02.01.2019 10:00 (UTC)","4441",""
"02.01.2019 10:00 - 02.01.2019 11:00 (UTC)","4306",""
"02.01.2019 11:00 - 02.01.2019 12:00 (UTC)","4286",""
"02.01.2019 12:00 - 02.01.2019 13:00 (UTC)","3869",""
"02.01.2019 13:00 - 02.01.2019 14:00 (UTC)","3764",""
"02.01.2019 14:00 - 02.01.2019 15:00 (UTC)","4140",""
"02.01.2019 15:00 - 02.01.2019 16:00 (UTC)","4298",""
