"MTU","Scheduled Generation [MW] (D) - BZN|FR","Scheduled Consumption [MW] (D) - BZN|FR"
"01.01.2019 00:00 - 01.01.2019 01:00 (UTC)","63555",""
"01.01.2019 01:00 - 01.01.2019 02:00 (UTC)","62104",""
"01.01.2019 02:00 - 01.01.2019 03:00 (UTC)","59954",""
"01.01.2019 03:00 - 01.01.2019 04:00 (UTC)","56724",""
"01.01.2019 04:00 - 01.01.2019 05:00 (UTC)","55856",""
"01.01.2019 05:00 - 01.01.2019 06:00 (UTC)","55606",""
"01.01.2019 06:00 - 01.01.2019 07:00 (UTC)","56483",""
"01.01.2019 07:00 - 01.01.2019 08:00 (UTC)","57554",""
"01.01.2019 08:00 - 01.01.2019 09:00 (UTC)","60627",""
"01.01.2019 09:00 - 01.01.2019 10:00 (UTC)","62621",""
"01.01.2019 10:00 - 01.01.2019 11:00 (UTC)","64920",""
"01.01.2019 11:00 - 01.01.2019 12:00 (UTC)","65370",""
"01.01.2019 12:00 - 01.01.2019 13:00 (UTC)","64846",""
"01.01.2019 13:00 - 01.01.2019 14:00 (UTC)","64161",""
"01.01.2019 14:00 - 01.01.2019 15:00 (UTC)","63305",""
"01.01.2019 15:00 - 01.01.2019 16:00 (UTC)","62597",""
"01.01.2019 16:00 - 01.01.2019 17:00 (UTC)","64425",""
"01.01.2019 17:00 - 01.01.2019 18:00 (UTC)","69402",""
"01.01.2019 18:00 - 01.01.2019 19:00 (UTC)","70231",""
"01.01.2019 19:00 - 01.01.2019 20:00 (UTC)","68539",""
"01.01.2019 20:00 - 01.01.2019 21:00 (UTC)","66935",""
"01.01.2019 21:00 - 01.01.2019 22:00 (UTC)","67511",""
"01.01.2019 22:00 - 01.01.2019 23:00 (UTC)","66967",""
"01.01.2019 23:00 - 02.01.2019 00:00 (UTC)","65397",""
"02.01.2019 00:00 - 02.01.2019 01:00 (UTC)","64333",""
"02.01.2019 01:00 - 02.01.2019 02:00 (UTC)","63388",""
"02.01.2019 02:00 - 02.01.2019 03:00 (UTC)","62218",""
"02.01.2019 03:00 - 02.01.2019 04:00 (UTC)","61907",""
"02.01.2019 04:00 - 02.01.2019 05:00 (UTC)","63744",""
"02.01.2019 05:00 - 02.01.2019 06:00 (UTC)","67070",""
"02.01.2019 06:00 - 02.01.2019 07:00 (UTC)","72743",""
"02.01.2019 07:00 - 02.01.2019 08:00 (UTC)","75356",""
"02.01.2019 08:00 - 02.01.2019 09:00 (UTC)","77752",""
"02.01.2019 09:00 - 02.01.2019 10:00 (UTC)","79445",""
"02.01.2019 10:00 - 02.01.2019 11:00 (UTC)","80226",""
"02.01.2019 11:00 - 02.01.2019 12:00 (UTC)","80597",""
"02.01.2019 12:00 - 02.01.2019 13:00 (UTC)","79678",""
"02.01.2019 13:00 - 02.01.2019 14:00 (UTC)","78521",""
"02.01.2019 14:00 - 02.01.2019 15:00 (UTC)","77533",""
"02.01.2019 15:00 - 02.01.2019 16:00 (UTC)","77491",""
"02.01.2019 16:00 - 02.01.2019 17:00 (UTC)","79048",""
"02.01.2019 17:00 - 02.01.2019 18:00 (UTC)","80169",""
"02.01.2019 18:00 - 02.01.2019 19:00 (UTC)","79679",""
"02.01.2019 19:00 - 02.01.2019 20:00 (UTC)","78504",""
"02.01.2019 20:00 - 02.01.2019 21:00 (UTC)","76982",""
"02.01.2019 21:00 - 02.01.2019 22:00 (UTC)","76302",""
"02.01.2019 22:00 - 02.01.2019 23:00 (UTC)","74693",""
"02.01.2019 23:00 - 03.01.2019 00:00 (UTC)","70523",""
"03.01.2019 00:00 - 03.01.2019 01:00 (UTC)","67685",""
"03.01.2019 01:00 - 03.01.2019 02:00 (UTC)","67124",""
"03.01.2019 02:00 - 03.01.2019 03:00 (UTC)","66417",""
"03.01.2019 03:00 - 03.01.2019 04:00 (UTC)","66215",""
"03.01.2019 04:00 - 03.01.2019 05:00 (UTC)","67122",""
"03.01.2019 05:00 - 03.01.2019 06:00 (UTC)","71555",""
"03.01.2019 06:00 - 03.01.2019 07:00 (UTC)","74270",""
"03.01.2019 07:00 - 03.01.2019 08:00 (UTC)","75960",""
"03.01.2019 08:00 - 03.01.2019 09:00 (UTC)","77281",""
"03.01.2019 09:00 - 03.01.2019 10:00 (UTC)","78416",""
"03.01.2019 10:00 - 03.01.2019 11:00 (UTC)","79079",""
"03.01.2019 11:00 - 03.01.2019 12:00 (UTC)","79238",""
"03.01.2019 12:00 - 03.01.2019 13:00 (UTC)","78814",""
"03.01.2019 13:00 - 03.01.2019 14:00 (UTC)","78360",""
"03.01.2019 14:00 - 03.01.2019 15:00 (UTC)","77706",""
"03.01.2019 15:00 - 03.01.2019 16:00 (UTC)","77719",""
"03.01.2019 16:00 - 03.01.2019 17:00 (UTC)","78574",""
"03.01.2019 17:00 - 03.01.2019 18:00 (UTC)","79666",""
"03.01.2019 18:00 - 03.01.2019 19:00 (UTC)","79708",""
"03.01.2019 19:00 - 03.01.2019 20:00 (UTC)","78019",""
"03.01.2019 20:00 - 03.01.2019 21:00 (UTC)","76554",""
"03.01.2019 21:00 - 03.01.2019 22:00 (UTC)","76203",""
"03.01.2019 22:00 - 03.01.2019 23:00 (UTC)","75093",""
"03.01.2019 23:00 - 04.01.2019 00:00 (UTC)","72782",""
"04.01.2019 00:00 - 04.01.2019 01:00 (UTC)","70611",""
"04.01.2019 01:00 - 04.01.2019 02:00 (UTC)","70072",""
"04.01.2019 02:00 - 04.01.2019 03:00 (UTC)","68381",""
"04.01.2019 03:00 - 04.01.2019 04:00 (UTC)","67736",""
"04.01.2019 04:00 - 04.01.2019 05:00 (UTC)","69460",""
"04.01.2019 05:00 - 04.01.2019 06:00 (UTC)","73570",""
"04.01.2019 06:00 - 04.01.2019 07:00 (UTC)","75539",""
"04.01.2019 07:00 - 04.01.2019 08:00 (UTC)","77276",""
"04.01.2019 08:00 - 04.01.2019 09:00 (UTC)","79049",""
"04.01.2019 09:00 - 04.01.2019 10:00 (UTC)","79726",""
"04.01.2019 10:00 - 04.01.2019 11:00 (UTC)","79931",""
"04.01.2019 11:00 - 04.01.2019 12:00 (UTC)","79969",""
"04.01.2019 12:00 - 04.01.2019 13:00 (UTC)","79358",""
"04.01.2019 13:00 - 04.01.2019 14:00 (UTC)","78136",""
"04.01.2019 14:00 - 04.01.2019 15:00 (UTC)","77262",""
"04.01.2019 15:00 - 04.01.2019 16:00 (UTC)","77076",""
"04.01.2019 16:00 - 04.01.2019 17:00 (UTC)","78116",""
"04.01.2019 17:00 - 04.01.2019 18:00 (UTC)","79949",""
"04.01.2019 18:00 - 04.01.2019 19:00 (UTC)","79717",""
"04.01.2019 19:00 - 04.01.2019 20:00 (UTC)","78364",""
"04.01.2019 20:00 - 04.01.2019 21:00 (UTC)","77188",""
"04.01.2019 21:00 - 04.01.2019 22:00 (UTC)","76399",""
"04.01.2019 22:00 - 04.01.2019 23:00 (UTC)","75741",""
"04.01.2019 23:00 - 05.01.2019 00:00 (UTC)","72886",""
