"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IT-North","Generation - Solar  [MW] Intraday / BZN|IT-North","Generation - Solar  [MW] Current / BZN|IT-North","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IT-North","Generation - Wind Offshore  [MW] Intraday / BZN|IT-North","Generation - Wind Offshore  [MW] Current / BZN|IT-North","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IT-North","Generation - Wind Onshore  [MW] Intraday / BZN|IT-North","Generation - Wind Onshore  [MW] Current / BZN|IT-North"
"01.01.2020 00:00 - 01.01.2020 01:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 01:00 - 01.01.2020 02:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 02:00 - 01.01.2020 03:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 03:00 - 01.01.2020 04:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 04:00 - 01.01.2020 05:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 05:00 - 01.01.2020 06:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 06:00 - 01.01.2020 07:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 07:00 - 01.01.2020 08:00","76","82","82","n/e","n/e","n/e","0","0","0"
"01.01.2020 08:00 - 01.01.2020 09:00","546","576","576","n/e","n/e","n/e","0","0","0"
"01.01.2020 09:00 - 01.01.2020 10:00","1287","1340","1340","n/e","n/e","n/e","0","0","0"
"01.01.2020 10:00 - 01.01.2020 11:00","1911","1972","1972","n/e","n/e","n/e","0","0","0"
"01.01.2020 11:00 - 01.01.2020 12:00","2159","2217","2217","n/e","n/e","n/e","0","0","0"
"01.01.2020 12:00 - 01.01.2020 13:00","1959","2004","2004","n/e","n/e","n/e","0","0","0"
"01.01.2020 13:00 - 01.01.2020 14:00","1322","1346","1346","n/e","n/e","n/e","0","0","0"
"01.01.2020 14:00 - 01.01.2020 15:00","559","564","564","n/e","n/e","n/e","0","0","0"
"01.01.2020 15:00 - 01.01.2020 16:00","46","31","31","n/e","n/e","n/e","0","0","0"
"01.01.2020 16:00 - 01.01.2020 17:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 17:00 - 01.01.2020 18:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 18:00 - 01.01.2020 19:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 19:00 - 01.01.2020 20:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 20:00 - 01.01.2020 21:00","0","0","0","n/e","n/e","n/e","0","0","0"
"01.01.2020 21:00 - 01.01.2020 22:00","0","0","0","n/e","n/e","n/e","1","0","0"
"01.01.2020 22:00 - 01.01.2020 23:00","0","0","0","n/e","n/e","n/e","1","1","1"
"01.01.2020 23:00 - 02.01.2020 00:00","0","0","0","n/e","n/e","n/e","1","1","1"
"02.01.2020 00:00 - 02.01.2020 01:00","0","0","0","n/e","n/e","n/e","2","2","2"
"02.01.2020 01:00 - 02.01.2020 02:00","0","0","0","n/e","n/e","n/e","2","2","2"
"02.01.2020 02:00 - 02.01.2020 03:00","0","0","0","n/e","n/e","n/e","2","2","2"
"02.01.2020 03:00 - 02.01.2020 04:00","0","0","0","n/e","n/e","n/e","2","2","2"
"02.01.2020 04:00 - 02.01.2020 05:00","0","0","0","n/e","n/e","n/e","2","2","2"
"02.01.2020 05:00 - 02.01.2020 06:00","0","0","0","n/e","n/e","n/e","1","1","1"
"02.01.2020 06:00 - 02.01.2020 07:00","0","0","0","n/e","n/e","n/e","1","1","1"
"02.01.2020 07:00 - 02.01.2020 08:00","55","83","83","n/e","n/e","n/e","1","1","1"
"02.01.2020 08:00 - 02.01.2020 09:00","448","571","571","n/e","n/e","n/e","1","1","1"
"02.01.2020 09:00 - 02.01.2020 10:00","1037","1318","1318","n/e","n/e","n/e","0","0","0"
"02.01.2020 10:00 - 02.01.2020 11:00","1540","1925","1925","n/e","n/e","n/e","0","0","0"
"02.01.2020 11:00 - 02.01.2020 12:00","1785","2147","2147","n/e","n/e","n/e","1","0","0"
"02.01.2020 12:00 - 02.01.2020 13:00","1672","1935","1935","n/e","n/e","n/e","1","0","0"
"02.01.2020 13:00 - 02.01.2020 14:00","1176","1311","1311","n/e","n/e","n/e","1","1","1"
"02.01.2020 14:00 - 02.01.2020 15:00","513","557","557","n/e","n/e","n/e","2","1","1"
"02.01.2020 15:00 - 02.01.2020 16:00","29","31","31","n/e","n/e","n/e","2","1","1"
"02.01.2020 16:00 - 02.01.2020 17:00","0","0","0","n/e","n/e","n/e","2","2","2"
"02.01.2020 17:00 - 02.01.2020 18:00","0","0","0","n/e","n/e","n/e","3","2","2"
"02.01.2020 18:00 - 02.01.2020 19:00","0","0","0","n/e","n/e","n/e","3","2","2"
"02.01.2020 19:00 - 02.01.2020 20:00","0","0","0","n/e","n/e","n/e","3","2","2"
"02.01.2020 20:00 - 02.01.2020 21:00","0","0","0","n/e","n/e","n/e","4","3","3"
"02.01.2020 21:00 - 02.01.2020 22:00","0","0","0","n/e","n/e","n/e","4","4","4"
"02.01.2020 22:00 - 02.01.2020 23:00","0","0","0","n/e","n/e","n/e","4","4","4"
"02.01.2020 23:00 - 03.01.2020 00:00","0","0","0","n/e","n/e","n/e","3","3","3"
"03.01.2020 00:00 - 03.01.2020 01:00","0","0","0","n/e","n/e","n/e","3","3","3"
"03.01.2020 01:00 - 03.01.2020 02:00","0","0","0","n/e","n/e","n/e","2","2","2"
"03.01.2020 02:00 - 03.01.2020 03:00","0","0","0","n/e","n/e","n/e","2","2","2"
"03.01.2020 03:00 - 03.01.2020 04:00","0","0","0","n/e","n/e","n/e","2","2","2"
"03.01.2020 04:00 - 03.01.2020 05:00","0","0","0","n/e","n/e","n/e","2","2","2"
"03.01.2020 05:00 - 03.01.2020 06:00","0","0","0","n/e","n/e","n/e","2","2","2"
"03.01.2020 06:00 - 03.01.2020 07:00","0","0","0","n/e","n/e","n/e","2","2","2"
"03.01.2020 07:00 - 03.01.2020 08:00","54","57","57","n/e","n/e","n/e","3","2","2"
"03.01.2020 08:00 - 03.01.2020 09:00","392","413","413","n/e","n/e","n/e","3","3","3"
"03.01.2020 09:00 - 03.01.2020 10:00","869","937","937","n/e","n/e","n/e","4","4","4"
"03.01.2020 10:00 - 03.01.2020 11:00","1249","1360","1360","n/e","n/e","n/e","5","4","4"
"03.01.2020 11:00 - 03.01.2020 12:00","1388","1513","1513","n/e","n/e","n/e","5","5","5"
"03.01.2020 12:00 - 03.01.2020 13:00","1255","1378","1378","n/e","n/e","n/e","6","6","6"
"03.01.2020 13:00 - 03.01.2020 14:00","858","943","943","n/e","n/e","n/e","7","7","7"
"03.01.2020 14:00 - 03.01.2020 15:00","370","405","405","n/e","n/e","n/e","8","8","8"
"03.01.2020 15:00 - 03.01.2020 16:00","0","19","19","n/e","n/e","n/e","10","10","10"
"03.01.2020 16:00 - 03.01.2020 17:00","0","0","0","n/e","n/e","n/e","12","12","12"
"03.01.2020 17:00 - 03.01.2020 18:00","0","0","0","n/e","n/e","n/e","12","12","12"
"03.01.2020 18:00 - 03.01.2020 19:00","0","0","0","n/e","n/e","n/e","12","13","13"
