"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"01.01.2019 00:00 - 01.01.2019 01:00","7732","6546"
"01.01.2019 01:00 - 01.01.2019 02:00","7563","6699"
"01.01.2019 02:00 - 01.01.2019 03:00","7379","6912"
"01.01.2019 03:00 - 01.01.2019 04:00","6996","6840"
"01.01.2019 04:00 - 01.01.2019 05:00","7302","6719"
"01.01.2019 05:00 - 01.01.2019 06:00","7254","6714"
"01.01.2019 06:00 - 01.01.2019 07:00","7513","6728"
"01.01.2019 07:00 - 01.01.2019 08:00","7212","6673"
"01.01.2019 08:00 - 01.01.2019 09:00","7394","6693"
"01.01.2019 09:00 - 01.01.2019 10:00","7791","6840"
"01.01.2019 10:00 - 01.01.2019 11:00","7603","6920"
"01.01.2019 11:00 - 01.01.2019 12:00","6985","6896"
"01.01.2019 12:00 - 01.01.2019 13:00","7074","7193"
"01.01.2019 13:00 - 01.01.2019 14:00","6654","7268"
"01.01.2019 14:00 - 01.01.2019 15:00","6812","7153"
"01.01.2019 15:00 - 01.01.2019 16:00","7443","7070"
"01.01.2019 16:00 - 01.01.2019 17:00","7611","7101"
"01.01.2019 17:00 - 01.01.2019 18:00","7676","6768"
"01.01.2019 18:00 - 01.01.2019 19:00","7617","6865"
"01.01.2019 19:00 - 01.01.2019 20:00","7421","6539"
"01.01.2019 20:00 - 01.01.2019 21:00","8075","6574"
"01.01.2019 21:00 - 01.01.2019 22:00","7668","6457"
"01.01.2019 22:00 - 01.01.2019 23:00","7404","6453"
"01.01.2019 23:00 - 02.01.2019 00:00","7234","6566"
"02.01.2019 00:00 - 02.01.2019 01:00","6877","6162"
"02.01.2019 01:00 - 02.01.2019 02:00","6887","6840"
"02.01.2019 02:00 - 02.01.2019 03:00","6900","6917"
"02.01.2019 03:00 - 02.01.2019 04:00","7007","6863"
"02.01.2019 04:00 - 02.01.2019 05:00","7010","6803"
"02.01.2019 05:00 - 02.01.2019 06:00","6833","6767"
"02.01.2019 06:00 - 02.01.2019 07:00","7039","6457"
"02.01.2019 07:00 - 02.01.2019 08:00","7233","6156"
"02.01.2019 08:00 - 02.01.2019 09:00","7456","6297"
"02.01.2019 09:00 - 02.01.2019 10:00","7558","6436"
"02.01.2019 10:00 - 02.01.2019 11:00","7602","6512"
"02.01.2019 11:00 - 02.01.2019 12:00","7599","6470"
"02.01.2019 12:00 - 02.01.2019 13:00","7402","6682"
"02.01.2019 13:00 - 02.01.2019 14:00","7889","6591"
"02.01.2019 14:00 - 02.01.2019 15:00","7438","6469"
"02.01.2019 15:00 - 02.01.2019 16:00","7968","6471"
"02.01.2019 16:00 - 02.01.2019 17:00","8225","6838"
"02.01.2019 17:00 - 02.01.2019 18:00","8811","7195"
"02.01.2019 18:00 - 02.01.2019 19:00","8010","7297"
"02.01.2019 19:00 - 02.01.2019 20:00","7858","7138"
"02.01.2019 20:00 - 02.01.2019 21:00","8384","6867"
"02.01.2019 21:00 - 02.01.2019 22:00","7963","6630"
"02.01.2019 22:00 - 02.01.2019 23:00","7691","6695"
"02.01.2019 23:00 - 03.01.2019 00:00","7668","6720"
"03.01.2019 00:00 - 03.01.2019 01:00","7743","6926"
"03.01.2019 01:00 - 03.01.2019 02:00","7791","6982"
"03.01.2019 02:00 - 03.01.2019 03:00","7588","7002"
"03.01.2019 03:00 - 03.01.2019 04:00","7311","7071"
"03.01.2019 04:00 - 03.01.2019 05:00","7374","6759"
"03.01.2019 05:00 - 03.01.2019 06:00","8049","7001"
"03.01.2019 06:00 - 03.01.2019 07:00","8464","6635"
"03.01.2019 07:00 - 03.01.2019 08:00","8704","7017"
"03.01.2019 08:00 - 03.01.2019 09:00","8977","7419"
"03.01.2019 09:00 - 03.01.2019 10:00","8823","7567"
"03.01.2019 10:00 - 03.01.2019 11:00","8520","7573"
"03.01.2019 11:00 - 03.01.2019 12:00","9455","7359"
"03.01.2019 12:00 - 03.01.2019 13:00","8588","7385"
"03.01.2019 13:00 - 03.01.2019 14:00","8563","7302"
"03.01.2019 14:00 - 03.01.2019 15:00","8536","7160"
"03.01.2019 15:00 - 03.01.2019 16:00","9109","7193"
"03.01.2019 16:00 - 03.01.2019 17:00","8881","7386"
"03.01.2019 17:00 - 03.01.2019 18:00","9195","7810"
"03.01.2019 18:00 - 03.01.2019 19:00","8874","7894"
"03.01.2019 19:00 - 03.01.2019 20:00","8436","7660"
"03.01.2019 20:00 - 03.01.2019 21:00","8228","7270"
"03.01.2019 21:00 - 03.01.2019 22:00","8185","7016"
"03.01.2019 22:00 - 03.01.2019 23:00","7957","6978"
"03.01.2019 23:00 - 04.01.2019 00:00","7593","6858"
"04.01.2019 00:00 - 04.01.2019 01:00","7729","6909"
"04.01.2019 01:00 - 04.01.2019 02:00","7820","7077"
"04.01.2019 02:00 - 04.01.2019 03:00","7804","7501"
"04.01.2019 03:00 - 04.01.2019 04:00","7273","7674"
"04.01.2019 04:00 - 04.01.2019 05:00","7996","7223"
"04.01.2019 05:00 - 04.01.2019 06:00","7932","7111"
"04.01.2019 06:00 - 04.01.2019 07:00","7826","6899"
"04.01.2019 07:00 - 04.01.2019 08:00","8141","7086"
"04.01.2019 08:00 - 04.01.2019 09:00","8194","7380"
"04.01.2019 09:00 - 04.01.2019 10:00","7660","7545"
"04.01.2019 10:00 - 04.01.2019 11:00","8378","7540"
"04.01.2019 11:00 - 04.01.2019 12:00","8137","7335"
"04.01.2019 12:00 - 04.01.2019 13:00","8362","7317"
"04.01.2019 13:00 - 04.01.2019 14:00","8591","7214"
"04.01.2019 14:00 - 04.01.2019 15:00","8402","7043"
"04.01.2019 15:00 - 04.01.2019 16:00","7909","7070"
"04.01.2019 16:00 - 04.01.2019 17:00","8230","7278"
"04.01.2019 17:00 - 04.01.2019 18:00","9167","7704"
"04.01.2019 18:00 - 04.01.2019 19:00","8878","7716"
"04.01.2019 19:00 - 04.01.2019 20:00","8245","7445"
"04.01.2019 20:00 - 04.01.2019 21:00","8039","7115"
"04.01.2019 21:00 - 04.01.2019 22:00","7900","6811"
"04.01.2019 22:00 - 04.01.2019 23:00","7494","6754"
"04.01.2019 23:00 - 05.01.2019 00:00","7761","6576"
"05.01.2019 00:00 - 05.01.2019 01:00","7781","6477"
"05.01.2019 01:00 - 05.01.2019 02:00","8081","6437"
"05.01.2019 02:00 - 05.01.2019 03:00","7585","6594"
"05.01.2019 03:00 - 05.01.2019 04:00","7347","6825"
"05.01.2019 04:00 - 05.01.2019 05:00","7553","6944"
"05.01.2019 05:00 - 05.01.2019 06:00","7529","6623"
"05.01.2019 06:00 - 05.01.2019 07:00","7284","6741"
"05.01.2019 07:00 - 05.01.2019 08:00","7189","6411"
"05.01.2019 08:00 - 05.01.2019 09:00","8023","6549"
"05.01.2019 09:00 - 05.01.2019 10:00","8119","6861"
"05.01.2019 10:00 - 05.01.2019 11:00","8212","7071"
"05.01.2019 11:00 - 05.01.2019 12:00","8355","7125"
"05.01.2019 12:00 - 05.01.2019 13:00","8201","7280"
"05.01.2019 13:00 - 05.01.2019 14:00","8142","7307"
"05.01.2019 14:00 - 05.01.2019 15:00","8068","7154"
"05.01.2019 15:00 - 05.01.2019 16:00","8096","7040"
"05.01.2019 16:00 - 05.01.2019 17:00","7938","7062"
"05.01.2019 17:00 - 05.01.2019 18:00","7968","7412"
"05.01.2019 18:00 - 05.01.2019 19:00","8194","7441"
"05.01.2019 19:00 - 05.01.2019 20:00","8091","7282"
"05.01.2019 20:00 - 05.01.2019 21:00","7842","6921"
"05.01.2019 21:00 - 05.01.2019 22:00","7808","6637"
"05.01.2019 22:00 - 05.01.2019 23:00","7483","6520"
"05.01.2019 23:00 - 06.01.2019 00:00","6770","6349"
"06.01.2019 00:00 - 06.01.2019 01:00","7590","6432"
"06.01.2019 01:00 - 06.01.2019 02:00","7057","6860"
"06.01.2019 02:00 - 06.01.2019 03:00","7065","7153"
"06.01.2019 03:00 - 06.01.2019 04:00","7832","7065"
"06.01.2019 04:00 - 06.01.2019 05:00","7541","6332"
"06.01.2019 05:00 - 06.01.2019 06:00","7360","6399"
"06.01.2019 06:00 - 06.01.2019 07:00","7780","6282"
"06.01.2019 07:00 - 06.01.2019 08:00","7146","6270"
"06.01.2019 08:00 - 06.01.2019 09:00","7545","6348"
"06.01.2019 09:00 - 06.01.2019 10:00","7579","6373"
"06.01.2019 10:00 - 06.01.2019 11:00","7821","6343"
"06.01.2019 11:00 - 06.01.2019 12:00","7269","7237"
"06.01.2019 12:00 - 06.01.2019 13:00","7700","7388"
"06.01.2019 13:00 - 06.01.2019 14:00","7637","7465"
"06.01.2019 14:00 - 06.01.2019 15:00","7613","7462"
"06.01.2019 15:00 - 06.01.2019 16:00","7804","7320"
"06.01.2019 16:00 - 06.01.2019 17:00","7667","7195"
"06.01.2019 17:00 - 06.01.2019 18:00","8127","7111"
"06.01.2019 18:00 - 06.01.2019 19:00","8142","7272"
"06.01.2019 19:00 - 06.01.2019 20:00","7938","7149"
"06.01.2019 20:00 - 06.01.2019 21:00","7810","6959"
"06.01.2019 21:00 - 06.01.2019 22:00","8009","7042"
"06.01.2019 22:00 - 06.01.2019 23:00","7402","6504"
"06.01.2019 23:00 - 07.01.2019 00:00","7378","6487"
"07.01.2019 00:00 - 07.01.2019 01:00","7489","6675"
"07.01.2019 01:00 - 07.01.2019 02:00","7194","7165"
"07.01.2019 02:00 - 07.01.2019 03:00","7555","7442"
"07.01.2019 03:00 - 07.01.2019 04:00","7431","7399"
"07.01.2019 04:00 - 07.01.2019 05:00","7543","7398"
"07.01.2019 05:00 - 07.01.2019 06:00","7937","7587"
"07.01.2019 06:00 - 07.01.2019 07:00","8686","7083"
"07.01.2019 07:00 - 07.01.2019 08:00","9743","7632"
"07.01.2019 08:00 - 07.01.2019 09:00","9461","8069"
"07.01.2019 09:00 - 07.01.2019 10:00","9117","8112"
"07.01.2019 10:00 - 07.01.2019 11:00","9516","8154"
"07.01.2019 11:00 - 07.01.2019 12:00","9504","8170"
"07.01.2019 12:00 - 07.01.2019 13:00","9197","7967"
"07.01.2019 13:00 - 07.01.2019 14:00","9499","8008"
"07.01.2019 14:00 - 07.01.2019 15:00","9470","7929"
"07.01.2019 15:00 - 07.01.2019 16:00","9295","7863"
"07.01.2019 16:00 - 07.01.2019 17:00","9592","8000"
"07.01.2019 17:00 - 07.01.2019 18:00","9633","8081"
"07.01.2019 18:00 - 07.01.2019 19:00","9310","8092"
"07.01.2019 19:00 - 07.01.2019 20:00","8980","7767"
"07.01.2019 20:00 - 07.01.2019 21:00","8181","7318"
"07.01.2019 21:00 - 07.01.2019 22:00","8032","7018"
"07.01.2019 22:00 - 07.01.2019 23:00","8155","6857"
"07.01.2019 23:00 - 08.01.2019 00:00","7578","7149"
"08.01.2019 00:00 - 08.01.2019 01:00","7648","7509"
"08.01.2019 01:00 - 08.01.2019 02:00","7359","7652"
"08.01.2019 02:00 - 08.01.2019 03:00","7541","7680"
"08.01.2019 03:00 - 08.01.2019 04:00","7579","7682"
"08.01.2019 04:00 - 08.01.2019 05:00","7808","7567"
"08.01.2019 05:00 - 08.01.2019 06:00","8209","7794"
"08.01.2019 06:00 - 08.01.2019 07:00","8565","7915"
"08.01.2019 07:00 - 08.01.2019 08:00","9892","7943"
"08.01.2019 08:00 - 08.01.2019 09:00","9511","8329"
"08.01.2019 09:00 - 08.01.2019 10:00","9575","8374"
"08.01.2019 10:00 - 08.01.2019 11:00","9623","8476"
"08.01.2019 11:00 - 08.01.2019 12:00","9084","8499"
"08.01.2019 12:00 - 08.01.2019 13:00","9286","8284"
"08.01.2019 13:00 - 08.01.2019 14:00","9317","8296"
"08.01.2019 14:00 - 08.01.2019 15:00","9134","8187"
"08.01.2019 15:00 - 08.01.2019 16:00","9382","8083"
"08.01.2019 16:00 - 08.01.2019 17:00","9452","8116"
"08.01.2019 17:00 - 08.01.2019 18:00","9470","8254"
"08.01.2019 18:00 - 08.01.2019 19:00","9342","8255"
"08.01.2019 19:00 - 08.01.2019 20:00","9072","7936"
"08.01.2019 20:00 - 08.01.2019 21:00","8411","7491"
"08.01.2019 21:00 - 08.01.2019 22:00","8105","7087"
"08.01.2019 22:00 - 08.01.2019 23:00","7894","6908"
"08.01.2019 23:00 - 09.01.2019 00:00","7670","6657"
"09.01.2019 00:00 - 09.01.2019 01:00","7976","6714"
"09.01.2019 01:00 - 09.01.2019 02:00","7515","6901"
"09.01.2019 02:00 - 09.01.2019 03:00","7600","7084"
"09.01.2019 03:00 - 09.01.2019 04:00","7592","7073"
"09.01.2019 04:00 - 09.01.2019 05:00","7491","7044"
"09.01.2019 05:00 - 09.01.2019 06:00","8410","7120"
"09.01.2019 06:00 - 09.01.2019 07:00","9571","7393"
"09.01.2019 07:00 - 09.01.2019 08:00","9593","8044"
"09.01.2019 08:00 - 09.01.2019 09:00","9592","8436"
"09.01.2019 09:00 - 09.01.2019 10:00","9834","8477"
"09.01.2019 10:00 - 09.01.2019 11:00","9471","8576"
"09.01.2019 11:00 - 09.01.2019 12:00","9281","8604"
"09.01.2019 12:00 - 09.01.2019 13:00","9440","8428"
"09.01.2019 13:00 - 09.01.2019 14:00","9404","8409"
"09.01.2019 14:00 - 09.01.2019 15:00","8841","8275"
"09.01.2019 15:00 - 09.01.2019 16:00","9510","8218"
"09.01.2019 16:00 - 09.01.2019 17:00","9628","8245"
"09.01.2019 17:00 - 09.01.2019 18:00","10137","8432"
"09.01.2019 18:00 - 09.01.2019 19:00","9669","8513"
"09.01.2019 19:00 - 09.01.2019 20:00","8839","8229"
"09.01.2019 20:00 - 09.01.2019 21:00","8647","7790"
"09.01.2019 21:00 - 09.01.2019 22:00","8663","7409"
"09.01.2019 22:00 - 09.01.2019 23:00","8312","7262"
"09.01.2019 23:00 - 10.01.2019 00:00","7909","7138"
"10.01.2019 00:00 - 10.01.2019 01:00","7966","6964"
"10.01.2019 01:00 - 10.01.2019 02:00","8633","7173"
"10.01.2019 02:00 - 10.01.2019 03:00","8817","7123"
"10.01.2019 03:00 - 10.01.2019 04:00","7568","7059"
"10.01.2019 04:00 - 10.01.2019 05:00","7678","7023"
"10.01.2019 05:00 - 10.01.2019 06:00","8047","7331"
"10.01.2019 06:00 - 10.01.2019 07:00","9170","7425"
"10.01.2019 07:00 - 10.01.2019 08:00","10032","8160"
"10.01.2019 08:00 - 10.01.2019 09:00","10222","8536"
"10.01.2019 09:00 - 10.01.2019 10:00","10181","8546"
"10.01.2019 10:00 - 10.01.2019 11:00","10000","8568"
"10.01.2019 11:00 - 10.01.2019 12:00","9438","8484"
"10.01.2019 12:00 - 10.01.2019 13:00","9772","8277"
"10.01.2019 13:00 - 10.01.2019 14:00","9551","8284"
"10.01.2019 14:00 - 10.01.2019 15:00","9645","8207"
"10.01.2019 15:00 - 10.01.2019 16:00","9552","8142"
"10.01.2019 16:00 - 10.01.2019 17:00","9605","8237"
"10.01.2019 17:00 - 10.01.2019 18:00","9665","8499"
"10.01.2019 18:00 - 10.01.2019 19:00","9548","8519"
"10.01.2019 19:00 - 10.01.2019 20:00","9394","8238"
"10.01.2019 20:00 - 10.01.2019 21:00","9337","7782"
"10.01.2019 21:00 - 10.01.2019 22:00","8656","7407"
"10.01.2019 22:00 - 10.01.2019 23:00","7716","7306"
"10.01.2019 23:00 - 11.01.2019 00:00","8280","7057"
"11.01.2019 00:00 - 11.01.2019 01:00","8445","6767"
"11.01.2019 01:00 - 11.01.2019 02:00","7975","6794"
"11.01.2019 02:00 - 11.01.2019 03:00","8240","6992"
"11.01.2019 03:00 - 11.01.2019 04:00","8118","7208"
"11.01.2019 04:00 - 11.01.2019 05:00","7795","7147"
"11.01.2019 05:00 - 11.01.2019 06:00","8327","6736"
"11.01.2019 06:00 - 11.01.2019 07:00","9470","7389"
"11.01.2019 07:00 - 11.01.2019 08:00","10204","8029"
"11.01.2019 08:00 - 11.01.2019 09:00","10173","8412"
"11.01.2019 09:00 - 11.01.2019 10:00","10168","8455"
"11.01.2019 10:00 - 11.01.2019 11:00","9892","8464"
"11.01.2019 11:00 - 11.01.2019 12:00","9741","8373"
"11.01.2019 12:00 - 11.01.2019 13:00","9906","8159"
"11.01.2019 13:00 - 11.01.2019 14:00","9566","8113"
"11.01.2019 14:00 - 11.01.2019 15:00","9472","7991"
"11.01.2019 15:00 - 11.01.2019 16:00","9486","7854"
"11.01.2019 16:00 - 11.01.2019 17:00","10006","7884"
"11.01.2019 17:00 - 11.01.2019 18:00","10176","8153"
"11.01.2019 18:00 - 11.01.2019 19:00","9487","8222"
"11.01.2019 19:00 - 11.01.2019 20:00","9053","7988"
"11.01.2019 20:00 - 11.01.2019 21:00","8312","7586"
"11.01.2019 21:00 - 11.01.2019 22:00","7979","7199"
"11.01.2019 22:00 - 11.01.2019 23:00","8213","7149"
"11.01.2019 23:00 - 12.01.2019 00:00","7435","6942"
"12.01.2019 00:00 - 12.01.2019 01:00","7782","6874"
"12.01.2019 01:00 - 12.01.2019 02:00","8132","6841"
"12.01.2019 02:00 - 12.01.2019 03:00","7796","6950"
"12.01.2019 03:00 - 12.01.2019 04:00","7913","6729"
"12.01.2019 04:00 - 12.01.2019 05:00","7215","7253"
"12.01.2019 05:00 - 12.01.2019 06:00","7374","7115"
"12.01.2019 06:00 - 12.01.2019 07:00","8140","7217"
"12.01.2019 07:00 - 12.01.2019 08:00","8212","7075"
"12.01.2019 08:00 - 12.01.2019 09:00","7946","7340"
"12.01.2019 09:00 - 12.01.2019 10:00","8041","7398"
"12.01.2019 10:00 - 12.01.2019 11:00","8027","7211"
"12.01.2019 11:00 - 12.01.2019 12:00","8254","7165"
"12.01.2019 12:00 - 12.01.2019 13:00","8183","7192"
"12.01.2019 13:00 - 12.01.2019 14:00","8050","7350"
"12.01.2019 14:00 - 12.01.2019 15:00","8347","7271"
"12.01.2019 15:00 - 12.01.2019 16:00","7921","7169"
"12.01.2019 16:00 - 12.01.2019 17:00","8348","7254"
"12.01.2019 17:00 - 12.01.2019 18:00","8425","7431"
"12.01.2019 18:00 - 12.01.2019 19:00","7658","7502"
"12.01.2019 19:00 - 12.01.2019 20:00","8407","7252"
"12.01.2019 20:00 - 12.01.2019 21:00","7897","6921"
"12.01.2019 21:00 - 12.01.2019 22:00","7716","7075"
"12.01.2019 22:00 - 12.01.2019 23:00","7102","6748"
"12.01.2019 23:00 - 13.01.2019 00:00","8238","7001"
"13.01.2019 00:00 - 13.01.2019 01:00","7240","6658"
"13.01.2019 01:00 - 13.01.2019 02:00","7440","7120"
"13.01.2019 02:00 - 13.01.2019 03:00","7370","7150"
"13.01.2019 03:00 - 13.01.2019 04:00","7612","7121"
"13.01.2019 04:00 - 13.01.2019 05:00","6993","7212"
"13.01.2019 05:00 - 13.01.2019 06:00","7396","6859"
"13.01.2019 06:00 - 13.01.2019 07:00","7395","7215"
"13.01.2019 07:00 - 13.01.2019 08:00","7092","7251"
"13.01.2019 08:00 - 13.01.2019 09:00","7197","7476"
"13.01.2019 09:00 - 13.01.2019 10:00","7527","7443"
"13.01.2019 10:00 - 13.01.2019 11:00","7429","7285"
"13.01.2019 11:00 - 13.01.2019 12:00","7724","7300"
"13.01.2019 12:00 - 13.01.2019 13:00","7798","7143"
"13.01.2019 13:00 - 13.01.2019 14:00","7417","7041"
"13.01.2019 14:00 - 13.01.2019 15:00","7521","7328"
"13.01.2019 15:00 - 13.01.2019 16:00","7954","7175"
"13.01.2019 16:00 - 13.01.2019 17:00","7725","7196"
"13.01.2019 17:00 - 13.01.2019 18:00","7121","7395"
"13.01.2019 18:00 - 13.01.2019 19:00","7400","7369"
"13.01.2019 19:00 - 13.01.2019 20:00","6967","7204"
"13.01.2019 20:00 - 13.01.2019 21:00","7901","6907"
"13.01.2019 21:00 - 13.01.2019 22:00","7709","6879"
"13.01.2019 22:00 - 13.01.2019 23:00","7040","6540"
"13.01.2019 23:00 - 14.01.2019 00:00","6976","6474"
"14.01.2019 00:00 - 14.01.2019 01:00","7359","7007"
"14.01.2019 01:00 - 14.01.2019 02:00","7459","6889"
"14.01.2019 02:00 - 14.01.2019 03:00","7317","7034"
"14.01.2019 03:00 - 14.01.2019 04:00","7507","7052"
"14.01.2019 04:00 - 14.01.2019 05:00","7230","7385"
"14.01.2019 05:00 - 14.01.2019 06:00","8142","7677"
"14.01.2019 06:00 - 14.01.2019 07:00","8964","7186"
"14.01.2019 07:00 - 14.01.2019 08:00","9438","7927"
"14.01.2019 08:00 - 14.01.2019 09:00","9569","8342"
"14.01.2019 09:00 - 14.01.2019 10:00","9283","8380"
"14.01.2019 10:00 - 14.01.2019 11:00","9362","8469"
"14.01.2019 11:00 - 14.01.2019 12:00","9450","8513"
"14.01.2019 12:00 - 14.01.2019 13:00","9378","8252"
"14.01.2019 13:00 - 14.01.2019 14:00","9355","8300"
"14.01.2019 14:00 - 14.01.2019 15:00","9103","8203"
"14.01.2019 15:00 - 14.01.2019 16:00","9148","8071"
"14.01.2019 16:00 - 14.01.2019 17:00","9460","8149"
"14.01.2019 17:00 - 14.01.2019 18:00","9090","8294"
"14.01.2019 18:00 - 14.01.2019 19:00","9085","8359"
"14.01.2019 19:00 - 14.01.2019 20:00","8931","8026"
"14.01.2019 20:00 - 14.01.2019 21:00","8219","7620"
"14.01.2019 21:00 - 14.01.2019 22:00","8099","7233"
"14.01.2019 22:00 - 14.01.2019 23:00","7553","7065"
"14.01.2019 23:00 - 15.01.2019 00:00","7687","6738"
"15.01.2019 00:00 - 15.01.2019 01:00","7831","6628"
"15.01.2019 01:00 - 15.01.2019 02:00","7342","6960"
"15.01.2019 02:00 - 15.01.2019 03:00","7947","7243"
"15.01.2019 03:00 - 15.01.2019 04:00","7434","7285"
"15.01.2019 04:00 - 15.01.2019 05:00","7454","7257"
"15.01.2019 05:00 - 15.01.2019 06:00","8166","7325"
"15.01.2019 06:00 - 15.01.2019 07:00","9077","7737"
"15.01.2019 07:00 - 15.01.2019 08:00","9629","8278"
"15.01.2019 08:00 - 15.01.2019 09:00","9700","8637"
"15.01.2019 09:00 - 15.01.2019 10:00","9702","8580"
"15.01.2019 10:00 - 15.01.2019 11:00","9696","8493"
"15.01.2019 11:00 - 15.01.2019 12:00","9332","8392"
"15.01.2019 12:00 - 15.01.2019 13:00","9000","8045"
"15.01.2019 13:00 - 15.01.2019 14:00","8950","8097"
"15.01.2019 14:00 - 15.01.2019 15:00","8907","7884"
"15.01.2019 15:00 - 15.01.2019 16:00","8920","8085"
"15.01.2019 16:00 - 15.01.2019 17:00","9404","7975"
"15.01.2019 17:00 - 15.01.2019 18:00","9234","8243"
"15.01.2019 18:00 - 15.01.2019 19:00","9558","8435"
"15.01.2019 19:00 - 15.01.2019 20:00","8998","8155"
"15.01.2019 20:00 - 15.01.2019 21:00","8245","7728"
"15.01.2019 21:00 - 15.01.2019 22:00","8504","7367"
"15.01.2019 22:00 - 15.01.2019 23:00","8381","7259"
"15.01.2019 23:00 - 16.01.2019 00:00","7839","7050"
"16.01.2019 00:00 - 16.01.2019 01:00","8704","6750"
"16.01.2019 01:00 - 16.01.2019 02:00","9146","7210"
"16.01.2019 02:00 - 16.01.2019 03:00","8679","7556"
"16.01.2019 03:00 - 16.01.2019 04:00","7614","7678"
"16.01.2019 04:00 - 16.01.2019 05:00","7763","7633"
"16.01.2019 05:00 - 16.01.2019 06:00","8413","7811"
"16.01.2019 06:00 - 16.01.2019 07:00","9714","7617"
"16.01.2019 07:00 - 16.01.2019 08:00","9520","8346"
"16.01.2019 08:00 - 16.01.2019 09:00","9600","8639"
"16.01.2019 09:00 - 16.01.2019 10:00","9601","8536"
"16.01.2019 10:00 - 16.01.2019 11:00","9665","8453"
"16.01.2019 11:00 - 16.01.2019 12:00","9280","8302"
"16.01.2019 12:00 - 16.01.2019 13:00","9066","7978"
"16.01.2019 13:00 - 16.01.2019 14:00","8684","7989"
"16.01.2019 14:00 - 16.01.2019 15:00","9016","7824"
"16.01.2019 15:00 - 16.01.2019 16:00","8987","7799"
"16.01.2019 16:00 - 16.01.2019 17:00","9183","7933"
"16.01.2019 17:00 - 16.01.2019 18:00","9300","8257"
"16.01.2019 18:00 - 16.01.2019 19:00","9540","8357"
"16.01.2019 19:00 - 16.01.2019 20:00","9268","8091"
"16.01.2019 20:00 - 16.01.2019 21:00","8548","7712"
"16.01.2019 21:00 - 16.01.2019 22:00","8630","8060"
"16.01.2019 22:00 - 16.01.2019 23:00","7884","7811"
"16.01.2019 23:00 - 17.01.2019 00:00","7474","7575"
"17.01.2019 00:00 - 17.01.2019 01:00","7988","7302"
"17.01.2019 01:00 - 17.01.2019 02:00","7409","7642"
"17.01.2019 02:00 - 17.01.2019 03:00","7514","7632"
"17.01.2019 03:00 - 17.01.2019 04:00","7475","7612"
"17.01.2019 04:00 - 17.01.2019 05:00","6955","7544"
"17.01.2019 05:00 - 17.01.2019 06:00","8094","7503"
"17.01.2019 06:00 - 17.01.2019 07:00","9304","7835"
"17.01.2019 07:00 - 17.01.2019 08:00","9529","8054"
"17.01.2019 08:00 - 17.01.2019 09:00","9039","8370"
"17.01.2019 09:00 - 17.01.2019 10:00","9440","8409"
"17.01.2019 10:00 - 17.01.2019 11:00","9199","8469"
"17.01.2019 11:00 - 17.01.2019 12:00","9492","8581"
"17.01.2019 12:00 - 17.01.2019 13:00","9086","8401"
"17.01.2019 13:00 - 17.01.2019 14:00","8943","8435"
"17.01.2019 14:00 - 17.01.2019 15:00","8753","8363"
"17.01.2019 15:00 - 17.01.2019 16:00","8780","8276"
"17.01.2019 16:00 - 17.01.2019 17:00","9160","8283"
"17.01.2019 17:00 - 17.01.2019 18:00","9067","8344"
"17.01.2019 18:00 - 17.01.2019 19:00","9354","8382"
"17.01.2019 19:00 - 17.01.2019 20:00","9307","8113"
"17.01.2019 20:00 - 17.01.2019 21:00","8127","7674"
"17.01.2019 21:00 - 17.01.2019 22:00","8217","7287"
"17.01.2019 22:00 - 17.01.2019 23:00","7731","7103"
"17.01.2019 23:00 - 18.01.2019 00:00","7616","6851"
