"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2019 00:00 - 01.01.2019 00:15","42374","42776"
"01.01.2019 00:15 - 01.01.2019 00:30","41868","42167"
"01.01.2019 00:30 - 01.01.2019 00:45","41341","41740"
"01.01.2019 00:45 - 01.01.2019 01:00","41068","40924"
"01.01.2019 01:00 - 01.01.2019 01:15","40760","41378"
"01.01.2019 01:15 - 01.01.2019 01:30","40521","40778"
"01.01.2019 01:30 - 01.01.2019 01:45","40485","39688"
"01.01.2019 01:45 - 01.01.2019 02:00","40446","39320"
"01.01.2019 02:00 - 01.01.2019 02:15","40267","39469"
"01.01.2019 02:15 - 01.01.2019 02:30","40218","39334"
"01.01.2019 02:30 - 01.01.2019 02:45","40287","39248"
"01.01.2019 02:45 - 01.01.2019 03:00","40273","39044"
"01.01.2019 03:00 - 01.01.2019 03:15","40425","39122"
"01.01.2019 03:15 - 01.01.2019 03:30","40580","39283"
"01.01.2019 03:30 - 01.01.2019 03:45","40674","39271"
"01.01.2019 03:45 - 01.01.2019 04:00","40734","39089"
"01.01.2019 04:00 - 01.01.2019 04:15","41008","39347"
"01.01.2019 04:15 - 01.01.2019 04:30","40858","39132"
"01.01.2019 04:30 - 01.01.2019 04:45","40917","38990"
"01.01.2019 04:45 - 01.01.2019 05:00","40834","38469"
"01.01.2019 05:00 - 01.01.2019 05:15","40369","38064"
"01.01.2019 05:15 - 01.01.2019 05:30","40673","38365"
"01.01.2019 05:30 - 01.01.2019 05:45","40895","38705"
"01.01.2019 05:45 - 01.01.2019 06:00","41197","38654"
"01.01.2019 06:00 - 01.01.2019 06:15","41861","39055"
"01.01.2019 06:15 - 01.01.2019 06:30","42213","39136"
"01.01.2019 06:30 - 01.01.2019 06:45","43715","39020"
"01.01.2019 06:45 - 01.01.2019 07:00","44562","39226"
"01.01.2019 07:00 - 01.01.2019 07:15","45789","39261"
"01.01.2019 07:15 - 01.01.2019 07:30","45872","39359"
"01.01.2019 07:30 - 01.01.2019 07:45","46341","39675"
"01.01.2019 07:45 - 01.01.2019 08:00","46876","40123"
"01.01.2019 08:00 - 01.01.2019 08:15","48129","41180"
"01.01.2019 08:15 - 01.01.2019 08:30","49049","42238"
"01.01.2019 08:30 - 01.01.2019 08:45","49541","42806"
"01.01.2019 08:45 - 01.01.2019 09:00","49857","43366"
"01.01.2019 09:00 - 01.01.2019 09:15","50412","44048"
"01.01.2019 09:15 - 01.01.2019 09:30","51048","44681"
"01.01.2019 09:30 - 01.01.2019 09:45","51269","45290"
"01.01.2019 09:45 - 01.01.2019 10:00","52098","45654"
"01.01.2019 10:00 - 01.01.2019 10:15","52478","46588"
"01.01.2019 10:15 - 01.01.2019 10:30","53164","47550"
"01.01.2019 10:30 - 01.01.2019 10:45","53907","48377"
"01.01.2019 10:45 - 01.01.2019 11:00","54398","48971"
"01.01.2019 11:00 - 01.01.2019 11:15","53654","49546"
"01.01.2019 11:15 - 01.01.2019 11:30","53811","49657"
"01.01.2019 11:30 - 01.01.2019 11:45","53125","49713"
"01.01.2019 11:45 - 01.01.2019 12:00","52569","49711"
"01.01.2019 12:00 - 01.01.2019 12:15","51938","49421"
"01.01.2019 12:15 - 01.01.2019 12:30","51291","49132"
"01.01.2019 12:30 - 01.01.2019 12:45","51046","49075"
"01.01.2019 12:45 - 01.01.2019 13:00","50203","49301"
"01.01.2019 13:00 - 01.01.2019 13:15","50111","49223"
"01.01.2019 13:15 - 01.01.2019 13:30","49251","48862"
"01.01.2019 13:30 - 01.01.2019 13:45","49491","49183"
"01.01.2019 13:45 - 01.01.2019 14:00","49790","48922"
"01.01.2019 14:00 - 01.01.2019 14:15","49916","49098"
"01.01.2019 14:15 - 01.01.2019 14:30","49333","49023"
"01.01.2019 14:30 - 01.01.2019 14:45","49567","49367"
"01.01.2019 14:45 - 01.01.2019 15:00","49494","49631"
"01.01.2019 15:00 - 01.01.2019 15:15","50110","50368"
"01.01.2019 15:15 - 01.01.2019 15:30","51032","50540"
"01.01.2019 15:30 - 01.01.2019 15:45","51740","51278"
"01.01.2019 15:45 - 01.01.2019 16:00","52000","52158"
"01.01.2019 16:00 - 01.01.2019 16:15","53324","53497"
"01.01.2019 16:15 - 01.01.2019 16:30","54001","54139"
"01.01.2019 16:30 - 01.01.2019 16:45","54805","54467"
"01.01.2019 16:45 - 01.01.2019 17:00","54820","54776"
"01.01.2019 17:00 - 01.01.2019 17:15","55092","54908"
"01.01.2019 17:15 - 01.01.2019 17:30","55327","54758"
"01.01.2019 17:30 - 01.01.2019 17:45","55180","54755"
"01.01.2019 17:45 - 01.01.2019 18:00","55063","54755"
"01.01.2019 18:00 - 01.01.2019 18:15","54674","55122"
"01.01.2019 18:15 - 01.01.2019 18:30","54081","54421"
