"Time (UTC)","BZN|CH > BZN|IT-North [MW]","BZN|IT-North > BZN|CH [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","2513","1910"
"01.01.2019 01:00 - 01.01.2019 02:00","2513","1910"
"01.01.2019 02:00 - 01.01.2019 03:00","2513","1910"
"01.01.2019 03:00 - 01.01.2019 04:00","2513","1910"
"01.01.2019 04:00 - 01.01.2019 05:00","2513","1910"
"01.01.2019 05:00 - 01.01.2019 06:00","2513","1910"
"01.01.2019 06:00 - 01.01.2019 07:00","2513","1910"
"01.01.2019 07:00 - 01.01.2019 08:00","2513","1910"
"01.01.2019 08:00 - 01.01.2019 09:00","2513","1910"
"01.01.2019 09:00 - 01.01.2019 10:00","2513","1910"
"01.01.2019 10:00 - 01.01.2019 11:00","2513","1910"
"01.01.2019 11:00 - 01.01.2019 12:00","2513","1910"
"01.01.2019 12:00 - 01.01.2019 13:00","2513","1910"
"01.01.2019 13:00 - 01.01.2019 14:00","2513","1910"
"01.01.2019 14:00 - 01.01.2019 15:00","2513","1910"
"01.01.2019 15:00 - 01.01.2019 16:00","2513","1910"
"01.01.2019 16:00 - 01.01.2019 17:00","2454","1910"
"01.01.2019 17:00 - 01.01.2019 18:00","2323","1910"
"01.01.2019 18:00 - 01.01.2019 19:00","2321","1910"
"01.01.2019 19:00 - 01.01.2019 20:00","2321","1910"
"01.01.2019 20:00 - 01.01.2019 21:00","2321","1910"
"01.01.2019 21:00 - 01.01.2019 22:00","2320","1910"
"01.01.2019 22:00 - 01.01.2019 23:00","3008","1910"
"01.01.2019 23:00 - 02.01.2019 00:00","2384","1910"
"02.01.2019 00:00 - 02.01.2019 01:00","2384","1910"
"02.01.2019 01:00 - 02.01.2019 02:00","2384","1910"
"02.01.2019 02:00 - 02.01.2019 03:00","2519","1910"
"02.01.2019 03:00 - 02.01.2019 04:00","2519","1910"
"02.01.2019 04:00 - 02.01.2019 05:00","2815","1910"
"02.01.2019 05:00 - 02.01.2019 06:00","2815","1910"
"02.01.2019 06:00 - 02.01.2019 07:00","2814","1810"
"02.01.2019 07:00 - 02.01.2019 08:00","2814","1810"
"02.01.2019 08:00 - 02.01.2019 09:00","2814","1810"
"02.01.2019 09:00 - 02.01.2019 10:00","2814","1810"
"02.01.2019 10:00 - 02.01.2019 11:00","2814","1810"
"02.01.2019 11:00 - 02.01.2019 12:00","2814","1810"
"02.01.2019 12:00 - 02.01.2019 13:00","2814","1810"
"02.01.2019 13:00 - 02.01.2019 14:00","2814","1810"
"02.01.2019 14:00 - 02.01.2019 15:00","2896","1810"
"02.01.2019 15:00 - 02.01.2019 16:00","2896","1810"
"02.01.2019 16:00 - 02.01.2019 17:00","2896","1810"
"02.01.2019 17:00 - 02.01.2019 18:00","2814","1810"
"02.01.2019 18:00 - 02.01.2019 19:00","2814","1810"
"02.01.2019 19:00 - 02.01.2019 20:00","2814","1810"
"02.01.2019 20:00 - 02.01.2019 21:00","2814","1810"
"02.01.2019 21:00 - 02.01.2019 22:00","2814","1810"
"02.01.2019 22:00 - 02.01.2019 23:00","2321","1910"
"02.01.2019 23:00 - 03.01.2019 00:00","2478","1910"
"03.01.2019 00:00 - 03.01.2019 01:00","2478","1910"
"03.01.2019 01:00 - 03.01.2019 02:00","2478","1910"
"03.01.2019 02:00 - 03.01.2019 03:00","2534","1910"
"03.01.2019 03:00 - 03.01.2019 04:00","2534","1910"
"03.01.2019 04:00 - 03.01.2019 05:00","2534","1910"
"03.01.2019 05:00 - 03.01.2019 06:00","2534","1910"
"03.01.2019 06:00 - 03.01.2019 07:00","2814","1810"
"03.01.2019 07:00 - 03.01.2019 08:00","2814","1810"
"03.01.2019 08:00 - 03.01.2019 09:00","2814","1810"
"03.01.2019 09:00 - 03.01.2019 10:00","2814","1810"
"03.01.2019 10:00 - 03.01.2019 11:00","2814","1810"
"03.01.2019 11:00 - 03.01.2019 12:00","2814","1810"
"03.01.2019 12:00 - 03.01.2019 13:00","2814","1810"
"03.01.2019 13:00 - 03.01.2019 14:00","2814","1810"
