"MTU","Scheduled Generation [MW] (D) - BZN|IT-North","Scheduled Consumption [MW] (D) - BZN|IT-North"
"01.01.2019 00:00 - 01.01.2019 01:00 (UTC)","6894",""
"01.01.2019 01:00 - 01.01.2019 02:00 (UTC)","6022",""
"01.01.2019 02:00 - 01.01.2019 03:00 (UTC)","4649",""
"01.01.2019 03:00 - 01.01.2019 04:00 (UTC)","4679",""
"01.01.2019 04:00 - 01.01.2019 05:00 (UTC)","4975",""
"01.01.2019 05:00 - 01.01.2019 06:00 (UTC)","5171",""
"01.01.2019 06:00 - 01.01.2019 07:00 (UTC)","5310",""
"01.01.2019 07:00 - 01.01.2019 08:00 (UTC)","5578",""
"01.01.2019 08:00 - 01.01.2019 09:00 (UTC)","5346",""
"01.01.2019 09:00 - 01.01.2019 10:00 (UTC)","5572",""
"01.01.2019 10:00 - 01.01.2019 11:00 (UTC)","5655",""
"01.01.2019 11:00 - 01.01.2019 12:00 (UTC)","6094",""
"01.01.2019 12:00 - 01.01.2019 13:00 (UTC)","5921",""
"01.01.2019 13:00 - 01.01.2019 14:00 (UTC)","5353",""
"01.01.2019 14:00 - 01.01.2019 15:00 (UTC)","6361",""
"01.01.2019 15:00 - 01.01.2019 16:00 (UTC)","8259",""
"01.01.2019 16:00 - 01.01.2019 17:00 (UTC)","10430",""
"01.01.2019 17:00 - 01.01.2019 18:00 (UTC)","10597",""
"01.01.2019 18:00 - 01.01.2019 19:00 (UTC)","11577",""
"01.01.2019 19:00 - 01.01.2019 20:00 (UTC)","10686",""
"01.01.2019 20:00 - 01.01.2019 21:00 (UTC)","10004",""
"01.01.2019 21:00 - 01.01.2019 22:00 (UTC)","8703",""
"01.01.2019 22:00 - 01.01.2019 23:00 (UTC)","6840",""
"01.01.2019 23:00 - 02.01.2019 00:00 (UTC)","7035",""
"02.01.2019 00:00 - 02.01.2019 01:00 (UTC)","5891",""
"02.01.2019 01:00 - 02.01.2019 02:00 (UTC)","4907",""
"02.01.2019 02:00 - 02.01.2019 03:00 (UTC)","4241",""
"02.01.2019 03:00 - 02.01.2019 04:00 (UTC)","4402",""
"02.01.2019 04:00 - 02.01.2019 05:00 (UTC)","5308",""
"02.01.2019 05:00 - 02.01.2019 06:00 (UTC)","8142",""
"02.01.2019 06:00 - 02.01.2019 07:00 (UTC)","10584",""
"02.01.2019 07:00 - 02.01.2019 08:00 (UTC)","12543",""
"02.01.2019 08:00 - 02.01.2019 09:00 (UTC)","12605",""
"02.01.2019 09:00 - 02.01.2019 10:00 (UTC)","11622",""
"02.01.2019 10:00 - 02.01.2019 11:00 (UTC)","10700",""
"02.01.2019 11:00 - 02.01.2019 12:00 (UTC)","10395",""
"02.01.2019 12:00 - 02.01.2019 13:00 (UTC)","9507",""
"02.01.2019 13:00 - 02.01.2019 14:00 (UTC)","9909",""
"02.01.2019 14:00 - 02.01.2019 15:00 (UTC)","10618",""
"02.01.2019 15:00 - 02.01.2019 16:00 (UTC)","11907",""
"02.01.2019 16:00 - 02.01.2019 17:00 (UTC)","13929",""
"02.01.2019 17:00 - 02.01.2019 18:00 (UTC)","14330",""
"02.01.2019 18:00 - 02.01.2019 19:00 (UTC)","13894",""
"02.01.2019 19:00 - 02.01.2019 20:00 (UTC)","11918",""
"02.01.2019 20:00 - 02.01.2019 21:00 (UTC)","10327",""
"02.01.2019 21:00 - 02.01.2019 22:00 (UTC)","7779",""
"02.01.2019 22:00 - 02.01.2019 23:00 (UTC)","6426",""
"02.01.2019 23:00 - 03.01.2019 00:00 (UTC)","6097",""
"03.01.2019 00:00 - 03.01.2019 01:00 (UTC)","5919",""
