"MTU","Scheduled Generation [MW] (D) - BZN|CH","Scheduled Consumption [MW] (D) - BZN|CH"
"01.01.2020 00:00 - 01.01.2020 01:00 (UTC)","3562",""
"01.01.2020 01:00 - 01.01.2020 02:00 (UTC)","3547",""
"01.01.2020 02:00 - 01.01.2020 03:00 (UTC)","3384",""
"01.01.2020 03:00 - 01.01.2020 04:00 (UTC)","3367",""
"01.01.2020 04:00 - 01.01.2020 05:00 (UTC)","3367",""
"01.01.2020 05:00 - 01.01.2020 06:00 (UTC)","3414",""
"01.01.2020 06:00 - 01.01.2020 07:00 (UTC)","3488",""
"01.01.2020 07:00 - 01.01.2020 08:00 (UTC)","3539",""
"01.01.2020 08:00 - 01.01.2020 09:00 (UTC)","3589",""
"01.01.2020 09:00 - 01.01.2020 10:00 (UTC)","3638",""
"01.01.2020 10:00 - 01.01.2020 11:00 (UTC)","3633",""
"01.01.2020 11:00 - 01.01.2020 12:00 (UTC)","3657",""
"01.01.2020 12:00 - 01.01.2020 13:00 (UTC)","3629",""
"01.01.2020 13:00 - 01.01.2020 14:00 (UTC)","3629",""
"01.01.2020 14:00 - 01.01.2020 15:00 (UTC)","3634",""
"01.01.2020 15:00 - 01.01.2020 16:00 (UTC)","3774",""
"01.01.2020 16:00 - 01.01.2020 17:00 (UTC)","4082",""
"01.01.2020 17:00 - 01.01.2020 18:00 (UTC)","5512",""
"01.01.2020 18:00 - 01.01.2020 19:00 (UTC)","5354",""
"01.01.2020 19:00 - 01.01.2020 20:00 (UTC)","5244",""
"01.01.2020 20:00 - 01.01.2020 21:00 (UTC)","4008",""
"01.01.2020 21:00 - 01.01.2020 22:00 (UTC)","3953",""
"01.01.2020 22:00 - 01.01.2020 23:00 (UTC)","3734",""
"01.01.2020 23:00 - 02.01.2020 00:00 (UTC)","3671",""
"02.01.2020 00:00 - 02.01.2020 01:00 (UTC)","3539",""
"02.01.2020 01:00 - 02.01.2020 02:00 (UTC)","3534",""
"02.01.2020 02:00 - 02.01.2020 03:00 (UTC)","3529",""
"02.01.2020 03:00 - 02.01.2020 04:00 (UTC)","3525",""
"02.01.2020 04:00 - 02.01.2020 05:00 (UTC)","3521",""
"02.01.2020 05:00 - 02.01.2020 06:00 (UTC)","3650",""
"02.01.2020 06:00 - 02.01.2020 07:00 (UTC)","4441",""
"02.01.2020 07:00 - 02.01.2020 08:00 (UTC)","5482",""
"02.01.2020 08:00 - 02.01.2020 09:00 (UTC)","5582",""
"02.01.2020 09:00 - 02.01.2020 10:00 (UTC)","5765",""
"02.01.2020 10:00 - 02.01.2020 11:00 (UTC)","5348",""
"02.01.2020 11:00 - 02.01.2020 12:00 (UTC)","5121",""
"02.01.2020 12:00 - 02.01.2020 13:00 (UTC)","4774",""
"02.01.2020 13:00 - 02.01.2020 14:00 (UTC)","4723",""
"02.01.2020 14:00 - 02.01.2020 15:00 (UTC)","4904",""
"02.01.2020 15:00 - 02.01.2020 16:00 (UTC)","5067",""
"02.01.2020 16:00 - 02.01.2020 17:00 (UTC)","6261",""
"02.01.2020 17:00 - 02.01.2020 18:00 (UTC)","6778",""
"02.01.2020 18:00 - 02.01.2020 19:00 (UTC)","6323",""
"02.01.2020 19:00 - 02.01.2020 20:00 (UTC)","4820",""
"02.01.2020 20:00 - 02.01.2020 21:00 (UTC)","3836",""
"02.01.2020 21:00 - 02.01.2020 22:00 (UTC)","3749",""
"02.01.2020 22:00 - 02.01.2020 23:00 (UTC)","3748",""
"02.01.2020 23:00 - 03.01.2020 00:00 (UTC)","3639",""
"03.01.2020 00:00 - 03.01.2020 01:00 (UTC)","3554",""
"03.01.2020 01:00 - 03.01.2020 02:00 (UTC)","3534",""
"03.01.2020 02:00 - 03.01.2020 03:00 (UTC)","3534",""
"03.01.2020 03:00 - 03.01.2020 04:00 (UTC)","3536",""
"03.01.2020 04:00 - 03.01.2020 05:00 (UTC)","3706",""
"03.01.2020 05:00 - 03.01.2020 06:00 (UTC)","4130",""
"03.01.2020 06:00 - 03.01.2020 07:00 (UTC)","4821",""
"03.01.2020 07:00 - 03.01.2020 08:00 (UTC)","4836",""
"03.01.2020 08:00 - 03.01.2020 09:00 (UTC)","5235",""
"03.01.2020 09:00 - 03.01.2020 10:00 (UTC)","5226",""
"03.01.2020 10:00 - 03.01.2020 11:00 (UTC)","4731",""
"03.01.2020 11:00 - 03.01.2020 12:00 (UTC)","4617",""
"03.01.2020 12:00 - 03.01.2020 13:00 (UTC)","4590",""
"03.01.2020 13:00 - 03.01.2020 14:00 (UTC)","4547",""
"03.01.2020 14:00 - 03.01.2020 15:00 (UTC)","4602",""
"03.01.2020 15:00 - 03.01.2020 16:00 (UTC)","4748",""
"03.01.2020 16:00 - 03.01.2020 17:00 (UTC)","5031",""
"03.01.2020 17:00 - 03.01.2020 18:00 (UTC)","5612",""
"03.01.2020 18:00 - 03.01.2020 19:00 (UTC)","5452",""
