"MTU","Scheduled Generation [MW] (D) - BZN|DE-LU","Scheduled Consumption [MW] (D) - BZN|DE-LU"
"01.01.2020 00:00 - 01.01.2020 01:00 (UTC)","42861",""
"01.01.2020 01:00 - 01.01.2020 02:00 (UTC)","42363",""
"01.01.2020 02:00 - 01.01.2020 03:00 (UTC)","42518",""
"01.01.2020 03:00 - 01.01.2020 04:00 (UTC)","42293",""
"01.01.2020 04:00 - 01.01.2020 05:00 (UTC)","42108",""
"01.01.2020 05:00 - 01.01.2020 06:00 (UTC)","42390",""
"01.01.2020 06:00 - 01.01.2020 07:00 (UTC)","43270",""
"01.01.2020 07:00 - 01.01.2020 08:00 (UTC)","46461",""
"01.01.2020 08:00 - 01.01.2020 09:00 (UTC)","51746",""
"01.01.2020 09:00 - 01.01.2020 10:00 (UTC)","57326",""
"01.01.2020 10:00 - 01.01.2020 11:00 (UTC)","62247",""
"01.01.2020 11:00 - 01.01.2020 12:00 (UTC)","63977",""
"01.01.2020 12:00 - 01.01.2020 13:00 (UTC)","61492",""
"01.01.2020 13:00 - 01.01.2020 14:00 (UTC)","56692",""
"01.01.2020 14:00 - 01.01.2020 15:00 (UTC)","51980",""
"01.01.2020 15:00 - 01.01.2020 16:00 (UTC)","50566",""
"01.01.2020 16:00 - 01.01.2020 17:00 (UTC)","55330",""
"01.01.2020 17:00 - 01.01.2020 18:00 (UTC)","58275",""
"01.01.2020 18:00 - 01.01.2020 19:00 (UTC)","59342",""
"01.01.2020 19:00 - 01.01.2020 20:00 (UTC)","55609",""
"01.01.2020 20:00 - 01.01.2020 21:00 (UTC)","52859",""
"01.01.2020 21:00 - 01.01.2020 22:00 (UTC)","51166",""
"01.01.2020 22:00 - 01.01.2020 23:00 (UTC)","50290",""
"01.01.2020 23:00 - 02.01.2020 00:00 (UTC)","47571",""
"02.01.2020 00:00 - 02.01.2020 01:00 (UTC)","46518",""
"02.01.2020 01:00 - 02.01.2020 02:00 (UTC)","45969",""
"02.01.2020 02:00 - 02.01.2020 03:00 (UTC)","46196",""
"02.01.2020 03:00 - 02.01.2020 04:00 (UTC)","46215",""
"02.01.2020 04:00 - 02.01.2020 05:00 (UTC)","48044",""
"02.01.2020 05:00 - 02.01.2020 06:00 (UTC)","51553",""
"02.01.2020 06:00 - 02.01.2020 07:00 (UTC)","57732",""
"02.01.2020 07:00 - 02.01.2020 08:00 (UTC)","61232",""
"02.01.2020 08:00 - 02.01.2020 09:00 (UTC)","65431",""
"02.01.2020 09:00 - 02.01.2020 10:00 (UTC)","68578",""
"02.01.2020 10:00 - 02.01.2020 11:00 (UTC)","70032",""
"02.01.2020 11:00 - 02.01.2020 12:00 (UTC)","70184",""
"02.01.2020 12:00 - 02.01.2020 13:00 (UTC)","68661",""
"02.01.2020 13:00 - 02.01.2020 14:00 (UTC)","65179",""
"02.01.2020 14:00 - 02.01.2020 15:00 (UTC)","61810",""
"02.01.2020 15:00 - 02.01.2020 16:00 (UTC)","61684",""
"02.01.2020 16:00 - 02.01.2020 17:00 (UTC)","66195",""
"02.01.2020 17:00 - 02.01.2020 18:00 (UTC)","68802",""
"02.01.2020 18:00 - 02.01.2020 19:00 (UTC)","69365",""
"02.01.2020 19:00 - 02.01.2020 20:00 (UTC)","67740",""
"02.01.2020 20:00 - 02.01.2020 21:00 (UTC)","66631",""
"02.01.2020 21:00 - 02.01.2020 22:00 (UTC)","65523",""
"02.01.2020 22:00 - 02.01.2020 23:00 (UTC)","62158",""
"02.01.2020 23:00 - 03.01.2020 00:00 (UTC)","60180",""
"03.01.2020 00:00 - 03.01.2020 01:00 (UTC)","60012",""
"03.01.2020 01:00 - 03.01.2020 02:00 (UTC)","60754",""
"03.01.2020 02:00 - 03.01.2020 03:00 (UTC)","61604",""
"03.01.2020 03:00 - 03.01.2020 04:00 (UTC)","62887",""
"03.01.2020 04:00 - 03.01.2020 05:00 (UTC)","64227",""
"03.01.2020 05:00 - 03.01.2020 06:00 (UTC)","67672",""
"03.01.2020 06:00 - 03.01.2020 07:00 (UTC)","73804",""
"03.01.2020 07:00 - 03.01.2020 08:00 (UTC)","77253",""
"03.01.2020 08:00 - 03.01.2020 09:00 (UTC)","78178",""
"03.01.2020 09:00 - 03.01.2020 10:00 (UTC)","79417",""
"03.01.2020 10:00 - 03.01.2020 11:00 (UTC)","80907",""
"03.01.2020 11:00 - 03.01.2020 12:00 (UTC)","81053",""
"03.01.2020 12:00 - 03.01.2020 13:00 (UTC)","78896",""
"03.01.2020 13:00 - 03.01.2020 14:00 (UTC)","76871",""
"03.01.2020 14:00 - 03.01.2020 15:00 (UTC)","75084",""
"03.01.2020 15:00 - 03.01.2020 16:00 (UTC)","75759",""
"03.01.2020 16:00 - 03.01.2020 17:00 (UTC)","77195",""
