"MTU","Scheduled Generation [MW] (D) - BZN|FR","Scheduled Consumption [MW] (D) - BZN|FR"
"01.01.2020 00:00 - 01.01.2020 01:00 (UTC)","69356",""
"01.01.2020 01:00 - 01.01.2020 02:00 (UTC)","66587",""
"01.01.2020 02:00 - 01.01.2020 03:00 (UTC)","64222",""
"01.01.2020 03:00 - 01.01.2020 04:00 (UTC)","61993",""
"01.01.2020 04:00 - 01.01.2020 05:00 (UTC)","61067",""
"01.01.2020 05:00 - 01.01.2020 06:00 (UTC)","60835",""
"01.01.2020 06:00 - 01.01.2020 07:00 (UTC)","60677",""
"01.01.2020 07:00 - 01.01.2020 08:00 (UTC)","61068",""
"01.01.2020 08:00 - 01.01.2020 09:00 (UTC)","61960",""
"01.01.2020 09:00 - 01.01.2020 10:00 (UTC)","62678",""
"01.01.2020 10:00 - 01.01.2020 11:00 (UTC)","63588",""
"01.01.2020 11:00 - 01.01.2020 12:00 (UTC)","64662",""
"01.01.2020 12:00 - 01.01.2020 13:00 (UTC)","64239",""
"01.01.2020 13:00 - 01.01.2020 14:00 (UTC)","63640",""
"01.01.2020 14:00 - 01.01.2020 15:00 (UTC)","65147",""
"01.01.2020 15:00 - 01.01.2020 16:00 (UTC)","68223",""
"01.01.2020 16:00 - 01.01.2020 17:00 (UTC)","70394",""
"01.01.2020 17:00 - 01.01.2020 18:00 (UTC)","71802",""
"01.01.2020 18:00 - 01.01.2020 19:00 (UTC)","72544",""
"01.01.2020 19:00 - 01.01.2020 20:00 (UTC)","71953",""
"01.01.2020 20:00 - 01.01.2020 21:00 (UTC)","71274",""
"01.01.2020 21:00 - 01.01.2020 22:00 (UTC)","71063",""
"01.01.2020 22:00 - 01.01.2020 23:00 (UTC)","68416",""
"01.01.2020 23:00 - 02.01.2020 00:00 (UTC)","66001",""
"02.01.2020 00:00 - 02.01.2020 01:00 (UTC)","63608",""
"02.01.2020 01:00 - 02.01.2020 02:00 (UTC)","62398",""
"02.01.2020 02:00 - 02.01.2020 03:00 (UTC)","61740",""
"02.01.2020 03:00 - 02.01.2020 04:00 (UTC)","61848",""
"02.01.2020 04:00 - 02.01.2020 05:00 (UTC)","62551",""
"02.01.2020 05:00 - 02.01.2020 06:00 (UTC)","66880",""
"02.01.2020 06:00 - 02.01.2020 07:00 (UTC)","71154",""
"02.01.2020 07:00 - 02.01.2020 08:00 (UTC)","72588",""
"02.01.2020 08:00 - 02.01.2020 09:00 (UTC)","74475",""
"02.01.2020 09:00 - 02.01.2020 10:00 (UTC)","75712",""
"02.01.2020 10:00 - 02.01.2020 11:00 (UTC)","75829",""
"02.01.2020 11:00 - 02.01.2020 12:00 (UTC)","76197",""
"02.01.2020 12:00 - 02.01.2020 13:00 (UTC)","75868",""
"02.01.2020 13:00 - 02.01.2020 14:00 (UTC)","75150",""
"02.01.2020 14:00 - 02.01.2020 15:00 (UTC)","74851",""
"02.01.2020 15:00 - 02.01.2020 16:00 (UTC)","74888",""
"02.01.2020 16:00 - 02.01.2020 17:00 (UTC)","76745",""
"02.01.2020 17:00 - 02.01.2020 18:00 (UTC)","78103",""
"02.01.2020 18:00 - 02.01.2020 19:00 (UTC)","78025",""
"02.01.2020 19:00 - 02.01.2020 20:00 (UTC)","76370",""
"02.01.2020 20:00 - 02.01.2020 21:00 (UTC)","73838",""
"02.01.2020 21:00 - 02.01.2020 22:00 (UTC)","72693",""
"02.01.2020 22:00 - 02.01.2020 23:00 (UTC)","71523",""
"02.01.2020 23:00 - 03.01.2020 00:00 (UTC)","67831",""
"03.01.2020 00:00 - 03.01.2020 01:00 (UTC)","66155",""
"03.01.2020 01:00 - 03.01.2020 02:00 (UTC)","64733",""
"03.01.2020 02:00 - 03.01.2020 03:00 (UTC)","63026",""
"03.01.2020 03:00 - 03.01.2020 04:00 (UTC)","63047",""
"03.01.2020 04:00 - 03.01.2020 05:00 (UTC)","64174",""
"03.01.2020 05:00 - 03.01.2020 06:00 (UTC)","67430",""
"03.01.2020 06:00 - 03.01.2020 07:00 (UTC)","74242",""
"03.01.2020 07:00 - 03.01.2020 08:00 (UTC)","77024",""
"03.01.2020 08:00 - 03.01.2020 09:00 (UTC)","78325",""
"03.01.2020 09:00 - 03.01.2020 10:00 (UTC)","79118",""
"03.01.2020 10:00 - 03.01.2020 11:00 (UTC)","78872",""
"03.01.2020 11:00 - 03.01.2020 12:00 (UTC)","79039",""
"03.01.2020 12:00 - 03.01.2020 13:00 (UTC)","77979",""
"03.01.2020 13:00 - 03.01.2020 14:00 (UTC)","76992",""
"03.01.2020 14:00 - 03.01.2020 15:00 (UTC)","76086",""
"03.01.2020 15:00 - 03.01.2020 16:00 (UTC)","75951",""
"03.01.2020 16:00 - 03.01.2020 17:00 (UTC)","77799",""
"03.01.2020 17:00 - 03.01.2020 18:00 (UTC)","78824",""
"03.01.2020 18:00 - 03.01.2020 19:00 (UTC)","78597",""
"03.01.2020 19:00 - 03.01.2020 20:00 (UTC)","75885",""
"03.01.2020 20:00 - 03.01.2020 21:00 (UTC)","73411",""
"03.01.2020 21:00 - 03.01.2020 22:00 (UTC)","73037",""
"03.01.2020 22:00 - 03.01.2020 23:00 (UTC)","70888",""
"03.01.2020 23:00 - 04.01.2020 00:00 (UTC)","64731",""
"04.01.2020 00:00 - 04.01.2020 01:00 (UTC)","61837",""
"04.01.2020 01:00 - 04.01.2020 02:00 (UTC)","60472",""
"04.01.2020 02:00 - 04.01.2020 03:00 (UTC)","59375",""
"04.01.2020 03:00 - 04.01.2020 04:00 (UTC)","58844",""
"04.01.2020 04:00 - 04.01.2020 05:00 (UTC)","59594",""
"04.01.2020 05:00 - 04.01.2020 06:00 (UTC)","61463",""
"04.01.2020 06:00 - 04.01.2020 07:00 (UTC)","63613",""
"04.01.2020 07:00 - 04.01.2020 08:00 (UTC)","67561",""
"04.01.2020 08:00 - 04.01.2020 09:00 (UTC)","69920",""
"04.01.2020 09:00 - 04.01.2020 10:00 (UTC)","71877",""
"04.01.2020 10:00 - 04.01.2020 11:00 (UTC)","72378",""
"04.01.2020 11:00 - 04.01.2020 12:00 (UTC)","72406",""
"04.01.2020 12:00 - 04.01.2020 13:00 (UTC)","71444",""
"04.01.2020 13:00 - 04.01.2020 14:00 (UTC)","69727",""
"04.01.2020 14:00 - 04.01.2020 15:00 (UTC)","68803",""
"04.01.2020 15:00 - 04.01.2020 16:00 (UTC)","68921",""
"04.01.2020 16:00 - 04.01.2020 17:00 (UTC)","71277",""
"04.01.2020 17:00 - 04.01.2020 18:00 (UTC)","72519",""
"04.01.2020 18:00 - 04.01.2020 19:00 (UTC)","72662",""
"04.01.2020 19:00 - 04.01.2020 20:00 (UTC)","71483",""
"04.01.2020 20:00 - 04.01.2020 21:00 (UTC)","69524",""
"04.01.2020 21:00 - 04.01.2020 22:00 (UTC)","69678",""
"04.01.2020 22:00 - 04.01.2020 23:00 (UTC)","69433",""
"04.01.2020 23:00 - 05.01.2020 00:00 (UTC)","65749",""
"05.01.2020 00:00 - 05.01.2020 01:00 (UTC)","64084",""
"05.01.2020 01:00 - 05.01.2020 02:00 (UTC)","61686",""
"05.01.2020 02:00 - 05.01.2020 03:00 (UTC)","60502",""
"05.01.2020 03:00 - 05.01.2020 04:00 (UTC)","60104",""
"05.01.2020 04:00 - 05.01.2020 05:00 (UTC)","60410",""
"05.01.2020 05:00 - 05.01.2020 06:00 (UTC)","60876",""
"05.01.2020 06:00 - 05.01.2020 07:00 (UTC)","62022",""
"05.01.2020 07:00 - 05.01.2020 08:00 (UTC)","64374",""
"05.01.2020 08:00 - 05.01.2020 09:00 (UTC)","67627",""
"05.01.2020 09:00 - 05.01.2020 10:00 (UTC)","69489",""
"05.01.2020 10:00 - 05.01.2020 11:00 (UTC)","71055",""
"05.01.2020 11:00 - 05.01.2020 12:00 (UTC)","71507",""
"05.01.2020 12:00 - 05.01.2020 13:00 (UTC)","71456",""
"05.01.2020 13:00 - 05.01.2020 14:00 (UTC)","70750",""
"05.01.2020 14:00 - 05.01.2020 15:00 (UTC)","69888",""
"05.01.2020 15:00 - 05.01.2020 16:00 (UTC)","70553",""
"05.01.2020 16:00 - 05.01.2020 17:00 (UTC)","73365",""
"05.01.2020 17:00 - 05.01.2020 18:00 (UTC)","75364",""
"05.01.2020 18:00 - 05.01.2020 19:00 (UTC)","75899",""
"05.01.2020 19:00 - 05.01.2020 20:00 (UTC)","74026",""
"05.01.2020 20:00 - 05.01.2020 21:00 (UTC)","72334",""
"05.01.2020 21:00 - 05.01.2020 22:00 (UTC)","71404",""
