"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|FR","Generation - Solar  [MW] Intraday / BZN|FR","Generation - Solar  [MW] Current / BZN|FR","Generation - Wind Offshore  [MW] Day Ahead/ BZN|FR","Generation - Wind Offshore  [MW] Intraday / BZN|FR","Generation - Wind Offshore  [MW] Current / BZN|FR","Generation - Wind Onshore  [MW] Day Ahead/ BZN|FR","Generation - Wind Onshore  [MW] Intraday / BZN|FR","Generation - Wind Onshore  [MW] Current / BZN|FR"
"01.01.2019 00:00 - 01.01.2019 01:00","0","N/A","0","n/e","n/e","n/e","1680","N/A","1567"
"01.01.2019 01:00 - 01.01.2019 02:00","0","N/A","0","n/e","n/e","n/e","1675","N/A","1657"
"01.01.2019 02:00 - 01.01.2019 03:00","0","N/A","0","n/e","n/e","n/e","1670","N/A","1745"
"01.01.2019 03:00 - 01.01.2019 04:00","0","N/A","0","n/e","n/e","n/e","1664","N/A","1835"
"01.01.2019 04:00 - 01.01.2019 05:00","0","N/A","0","n/e","n/e","n/e","1687","N/A","1873"
"01.01.2019 05:00 - 01.01.2019 06:00","0","N/A","0","n/e","n/e","n/e","1711","N/A","1913"
"01.01.2019 06:00 - 01.01.2019 07:00","0","0","0","n/e","n/e","n/e","1736","1769","1769"
"01.01.2019 07:00 - 01.01.2019 08:00","0","0","0","n/e","n/e","n/e","1840","1810","1810"
"01.01.2019 08:00 - 01.01.2019 09:00","151","152","152","n/e","n/e","n/e","1943","1841","1841"
"01.01.2019 09:00 - 01.01.2019 10:00","924","923","935","n/e","n/e","n/e","2047","1872","1862"
"01.01.2019 10:00 - 01.01.2019 11:00","1804","1801","1858","n/e","n/e","n/e","2167","2100","2089"
"01.01.2019 11:00 - 01.01.2019 12:00","2398","2386","2481","n/e","n/e","n/e","2288","2328","2318"
"01.01.2019 12:00 - 01.01.2019 13:00","2602","2569","2700","n/e","n/e","n/e","2408","2555","2548"
"01.01.2019 13:00 - 01.01.2019 14:00","2350","2335","2423","n/e","n/e","n/e","2543","2649","2647"
"01.01.2019 14:00 - 01.01.2019 15:00","1671","1658","1703","n/e","n/e","n/e","2679","2746","2745"
"01.01.2019 15:00 - 01.01.2019 16:00","658","665","669","n/e","n/e","n/e","2814","2842","2842"
"01.01.2019 16:00 - 01.01.2019 17:00","38","38","39","n/e","n/e","n/e","2953","2961","2962"
"01.01.2019 17:00 - 01.01.2019 18:00","0","0","0","n/e","n/e","n/e","3093","3080","3082"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0","0","n/e","n/e","n/e","3232","3199","3200"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0","0","n/e","n/e","n/e","3332","3243","3245"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0","0","n/e","n/e","n/e","3432","3288","3289"
"01.01.2019 21:00 - 01.01.2019 22:00","0","0","0","n/e","n/e","n/e","3532","3332","3333"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0","0","n/e","n/e","n/e","3707","3535","3537"
"01.01.2019 23:00 - 02.01.2019 00:00","0","N/A","0","n/e","n/e","n/e","3323","N/A","3213"
"02.01.2019 00:00 - 02.01.2019 01:00","0","N/A","0","n/e","n/e","n/e","3570","N/A","3431"
"02.01.2019 01:00 - 02.01.2019 02:00","0","N/A","0","n/e","n/e","n/e","3724","N/A","3555"
"02.01.2019 02:00 - 02.01.2019 03:00","0","N/A","0","n/e","n/e","n/e","3878","N/A","3678"
"02.01.2019 03:00 - 02.01.2019 04:00","0","N/A","0","n/e","n/e","n/e","4031","N/A","3796"
"02.01.2019 04:00 - 02.01.2019 05:00","0","N/A","0","n/e","n/e","n/e","4063","N/A","3918"
"02.01.2019 05:00 - 02.01.2019 06:00","0","N/A","0","n/e","n/e","n/e","4095","N/A","4038"
"02.01.2019 06:00 - 02.01.2019 07:00","0","0","0","n/e","n/e","n/e","4126","3523","3523"
"02.01.2019 07:00 - 02.01.2019 08:00","0","0","0","n/e","n/e","n/e","4186","3661","3661"
"02.01.2019 08:00 - 02.01.2019 09:00","157","159","159","n/e","n/e","n/e","4246","3777","3777"
"02.01.2019 09:00 - 02.01.2019 10:00","963","982","1002","n/e","n/e","n/e","4307","3881","3805"
"02.01.2019 10:00 - 02.01.2019 11:00","1905","1978","1990","n/e","n/e","n/e","4280","3755","3693"
"02.01.2019 11:00 - 02.01.2019 12:00","2536","2594","2652","n/e","n/e","n/e","4253","3623","3573"
"02.01.2019 12:00 - 02.01.2019 13:00","2673","2820","2860","n/e","n/e","n/e","4225","3489","3445"
"02.01.2019 13:00 - 02.01.2019 14:00","2384","2520","2578","n/e","n/e","n/e","4113","3547","3510"
"02.01.2019 14:00 - 02.01.2019 15:00","1684","1782","1807","n/e","n/e","n/e","4000","3602","3572"
"02.01.2019 15:00 - 02.01.2019 16:00","684","708","731","n/e","n/e","n/e","3889","3655","3630"
"02.01.2019 16:00 - 02.01.2019 17:00","43","43","45","n/e","n/e","n/e","3871","3726","3704"
"02.01.2019 17:00 - 02.01.2019 18:00","0","0","0","n/e","n/e","n/e","3853","3797","3775"
"02.01.2019 18:00 - 02.01.2019 19:00","0","0","0","n/e","n/e","n/e","3834","3866","3846"
"02.01.2019 19:00 - 02.01.2019 20:00","0","0","0","n/e","n/e","n/e","3814","3806","3788"
"02.01.2019 20:00 - 02.01.2019 21:00","0","0","0","n/e","n/e","n/e","3796","3746","3729"
"02.01.2019 21:00 - 02.01.2019 22:00","0","0","0","n/e","n/e","n/e","3776","3685","3670"
"02.01.2019 22:00 - 02.01.2019 23:00","0","0","0","n/e","n/e","n/e","3619","3515","3500"
"02.01.2019 23:00 - 03.01.2019 00:00","0","N/A","0","n/e","n/e","n/e","3330","N/A","3330"
"03.01.2019 00:00 - 03.01.2019 01:00","0","N/A","0","n/e","n/e","n/e","3160","N/A","3160"
"03.01.2019 01:00 - 03.01.2019 02:00","0","N/A","0","n/e","n/e","n/e","3022","N/A","3022"
"03.01.2019 02:00 - 03.01.2019 03:00","0","N/A","0","n/e","n/e","n/e","2882","N/A","2882"
