"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IT-North","Generation - Solar  [MW] Intraday / BZN|IT-North","Generation - Solar  [MW] Current / BZN|IT-North","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IT-North","Generation - Wind Offshore  [MW] Intraday / BZN|IT-North","Generation - Wind Offshore  [MW] Current / BZN|IT-North","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IT-North","Generation - Wind Onshore  [MW] Intraday / BZN|IT-North","Generation - Wind Onshore  [MW] Current / BZN|IT-North"
"01.01.2019 00:00 - 01.01.2019 01:00","0","0","0","n/e","n/e","n/e","3","3","3"
"01.01.2019 01:00 - 01.01.2019 02:00","0","0","0","n/e","n/e","n/e","2","2","2"
"01.01.2019 02:00 - 01.01.2019 03:00","0","0","0","n/e","n/e","n/e","2","2","2"
"01.01.2019 03:00 - 01.01.2019 04:00","0","0","0","n/e","n/e","n/e","2","2","2"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0","0","n/e","n/e","n/e","2","2","2"
"01.01.2019 05:00 - 01.01.2019 06:00","0","0","0","n/e","n/e","n/e","2","2","2"
"01.01.2019 06:00 - 01.01.2019 07:00","0","0","0","n/e","n/e","n/e","1","1","1"
"01.01.2019 07:00 - 01.01.2019 08:00","42","45","45","n/e","n/e","n/e","1","1","1"
"01.01.2019 08:00 - 01.01.2019 09:00","260","268","268","n/e","n/e","n/e","0","0","0"
"01.01.2019 09:00 - 01.01.2019 10:00","494","507","507","n/e","n/e","n/e","0","0","0"
"01.01.2019 10:00 - 01.01.2019 11:00","713","685","685","n/e","n/e","n/e","0","0","0"
"01.01.2019 11:00 - 01.01.2019 12:00","935","888","888","n/e","n/e","n/e","0","0","0"
"01.01.2019 12:00 - 01.01.2019 13:00","772","763","763","n/e","n/e","n/e","1","1","1"
"01.01.2019 13:00 - 01.01.2019 14:00","543","532","532","n/e","n/e","n/e","1","1","1"
"01.01.2019 14:00 - 01.01.2019 15:00","265","259","259","n/e","n/e","n/e","1","2","2"
"01.01.2019 15:00 - 01.01.2019 16:00","41","40","40","n/e","n/e","n/e","1","1","1"
"01.01.2019 16:00 - 01.01.2019 17:00","0","0","0","n/e","n/e","n/e","1","1","1"
"01.01.2019 17:00 - 01.01.2019 18:00","0","0","0","n/e","n/e","n/e","2","2","2"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0","0","n/e","n/e","n/e","2","2","2"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0","0","n/e","n/e","n/e","3","3","3"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0","0","n/e","n/e","n/e","3","3","3"
"01.01.2019 21:00 - 01.01.2019 22:00","0","0","0","n/e","n/e","n/e","3","2","2"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0","0","n/e","n/e","n/e","3","2","2"
"01.01.2019 23:00 - 02.01.2019 00:00","0","0","0","n/e","n/e","n/e","3","3","3"
"02.01.2019 00:00 - 02.01.2019 01:00","0","0","0","n/e","n/e","n/e","2","2","2"
"02.01.2019 01:00 - 02.01.2019 02:00","0","0","0","n/e","n/e","n/e","1","1","1"
"02.01.2019 02:00 - 02.01.2019 03:00","0","0","0","n/e","n/e","n/e","1","1","1"
"02.01.2019 03:00 - 02.01.2019 04:00","0","0","0","n/e","n/e","n/e","1","1","1"
