"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|CH","Generation - Solar  [MW] Intraday / BZN|CH","Generation - Solar  [MW] Current / BZN|CH","Generation - Wind Offshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Offshore  [MW] Intraday / BZN|CH","Generation - Wind Offshore  [MW] Current / BZN|CH","Generation - Wind Onshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Onshore  [MW] Intraday / BZN|CH","Generation - Wind Onshore  [MW] Current / BZN|CH"
"01.01.2020 00:00 - 01.01.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 01:00 - 01.01.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 02:00 - 01.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 03:00 - 01.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 04:00 - 01.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 05:00 - 01.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 06:00 - 01.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 07:00 - 01.01.2020 08:00","4","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 08:00 - 01.01.2020 09:00","19","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 09:00 - 01.01.2020 10:00","38","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 10:00 - 01.01.2020 11:00","62","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 11:00 - 01.01.2020 12:00","65","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 12:00 - 01.01.2020 13:00","59","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 13:00 - 01.01.2020 14:00","49","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 14:00 - 01.01.2020 15:00","33","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 15:00 - 01.01.2020 16:00","10","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 16:00 - 01.01.2020 17:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 17:00 - 01.01.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 18:00 - 01.01.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 19:00 - 01.01.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 20:00 - 01.01.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 21:00 - 01.01.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 22:00 - 01.01.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.01.2020 23:00 - 02.01.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 00:00 - 02.01.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 01:00 - 02.01.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 02:00 - 02.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 03:00 - 02.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 04:00 - 02.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 05:00 - 02.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 06:00 - 02.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 07:00 - 02.01.2020 08:00","4","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 08:00 - 02.01.2020 09:00","18","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 09:00 - 02.01.2020 10:00","38","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 10:00 - 02.01.2020 11:00","62","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 11:00 - 02.01.2020 12:00","66","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 12:00 - 02.01.2020 13:00","60","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 13:00 - 02.01.2020 14:00","49","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 14:00 - 02.01.2020 15:00","32","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 15:00 - 02.01.2020 16:00","10","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 16:00 - 02.01.2020 17:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 17:00 - 02.01.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 18:00 - 02.01.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 19:00 - 02.01.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 20:00 - 02.01.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 21:00 - 02.01.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 22:00 - 02.01.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"02.01.2020 23:00 - 03.01.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 00:00 - 03.01.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 01:00 - 03.01.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 02:00 - 03.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 03:00 - 03.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 04:00 - 03.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 05:00 - 03.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 06:00 - 03.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 07:00 - 03.01.2020 08:00","3","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 08:00 - 03.01.2020 09:00","18","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 09:00 - 03.01.2020 10:00","37","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 10:00 - 03.01.2020 11:00","58","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 11:00 - 03.01.2020 12:00","57","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 12:00 - 03.01.2020 13:00","50","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 13:00 - 03.01.2020 14:00","39","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 14:00 - 03.01.2020 15:00","25","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 15:00 - 03.01.2020 16:00","8","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 16:00 - 03.01.2020 17:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 17:00 - 03.01.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
