"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|IT-North","Actual Total Load [MW] - BZN|IT-North"
"01.01.2020 00:00 - 01.01.2020 01:00","10150","10310"
"01.01.2020 01:00 - 01.01.2020 02:00","9665","9748"
"01.01.2020 02:00 - 01.01.2020 03:00","9308","9205"
"01.01.2020 03:00 - 01.01.2020 04:00","9225","9014"
"01.01.2020 04:00 - 01.01.2020 05:00","9365","9243"
"01.01.2020 05:00 - 01.01.2020 06:00","9988","9843"
"01.01.2020 06:00 - 01.01.2020 07:00","10204","10307"
"01.01.2020 07:00 - 01.01.2020 08:00","10264","10195"
"01.01.2020 08:00 - 01.01.2020 09:00","10523","10435"
"01.01.2020 09:00 - 01.01.2020 10:00","11398","10858"
"01.01.2020 10:00 - 01.01.2020 11:00","11735","11363"
"01.01.2020 11:00 - 01.01.2020 12:00","11732","11412"
"01.01.2020 12:00 - 01.01.2020 13:00","10934","11026"
"01.01.2020 13:00 - 01.01.2020 14:00","11044","10857"
"01.01.2020 14:00 - 01.01.2020 15:00","11286","11255"
"01.01.2020 15:00 - 01.01.2020 16:00","12244","12109"
"01.01.2020 16:00 - 01.01.2020 17:00","14035","14032"
"01.01.2020 17:00 - 01.01.2020 18:00","15159","14507"
"01.01.2020 18:00 - 01.01.2020 19:00","15160","14627"
"01.01.2020 19:00 - 01.01.2020 20:00","14969","14054"
"01.01.2020 20:00 - 01.01.2020 21:00","13987","13164"
"01.01.2020 21:00 - 01.01.2020 22:00","12771","12102"
"01.01.2020 22:00 - 01.01.2020 23:00","11363","10862"
"01.01.2020 23:00 - 02.01.2020 00:00","9867","10011"
"02.01.2020 00:00 - 02.01.2020 01:00","9241","9357"
"02.01.2020 01:00 - 02.01.2020 02:00","8973","9003"
"02.01.2020 02:00 - 02.01.2020 03:00","8816","8970"
"02.01.2020 03:00 - 02.01.2020 04:00","9027","9261"
"02.01.2020 04:00 - 02.01.2020 05:00","9932","10117"
"02.01.2020 05:00 - 02.01.2020 06:00","12212","12468"
"02.01.2020 06:00 - 02.01.2020 07:00","14857","15044"
"02.01.2020 07:00 - 02.01.2020 08:00","17494","16805"
"02.01.2020 08:00 - 02.01.2020 09:00","18463","17799"
"02.01.2020 09:00 - 02.01.2020 10:00","18810","17710"
"02.01.2020 10:00 - 02.01.2020 11:00","18808","17484"
"02.01.2020 11:00 - 02.01.2020 12:00","18169","16617"
"02.01.2020 12:00 - 02.01.2020 13:00","17963","16290"
"02.01.2020 13:00 - 02.01.2020 14:00","18498","16647"
"02.01.2020 14:00 - 02.01.2020 15:00","18965","17202"
"02.01.2020 15:00 - 02.01.2020 16:00","19576","17903"
"02.01.2020 16:00 - 02.01.2020 17:00","19857","19391"
"02.01.2020 17:00 - 02.01.2020 18:00","19992","19264"
